# Wordlist

# META
@date:2013-07-16
@doculect:Huitoto Muinane, hto
@source_title:Automatically created wordlist, by lingpy.

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
#
1	thiesen1998/239/12	CERC	pí̵hí̵	Bora	pʰ i̵ ʔ i̵
2	thiesen1998/183/18	CERC	míhlleta	Bora	m i ʔ tʰʃ e tʰ a
3	burtch1983/159/17	CERC	llaì̵gabaìro	Huitoto Murui	dʑ aɯ̀ g a b ai ɾ ɔ
4	thiesen1998/186/15	CERC	mí̵jcomu	Bora	m i̵ x kʰ o m u
5	minor1971/11/15	CERC	coráì̵ca	Huitoto Muinane	k o ɾ a ɯ̀ k a
6	thiesen1998/315/8	CERC	wahájchota	Bora	kʷ a ʔ a x kʰʔ o tʰ a
7	thiesen1998/185/23	CERC	mí̵caave	Bora	m i̵ kʰ a: β e
8	leach1969/159/34	CERC	xooa	Ocaina	x o o a
9	thiesen1998/239/12	CERC	pi̵i̵hí̵re	Bora	pʰ i̵: ʔ i̵ r e
10	burtch1983/103/22	CERC	ianori	Huitoto Murui	i a n ɔ ɾ i
11	minor1971/67/36	CERC	tdi̵gi̵ca	Huitoto Muinane	ɗ ɯ g ɯ k a
12	burtch1983/240/2	CERC	ti̵gi̵caco	Huitoto Murui	t ɯ g ɯ k a k ɔ
13	burtch1983/104/8	CERC	iaì̵re	Huitoto Murui	i aɯ̀ ɾ ɛ
14	thiesen1998/239/11	CERC	pi̵í̵hi̵	Bora	pʰ i̵ i̵ ʔ i̵
15	minor1971/52/36	CERC	ñuègi̵ca	Huitoto Muinane	nʲ u ɛ g ɯ k a
16	burtch1983/159/18	CERC	llaì̵gafo	Huitoto Murui	dʑ aɯ̀ g a ɸ ɔ
17	leach1969/86/45	CERC	dyahoonu	Ocaina	dʑ a ʔ o õ ɯ
18	burtch1983/190/10	CERC	naì̵ruìco	Huitoto Murui	n aɯ̀ ɾ ui k ɔ
19	burtch1983/103/22	CERC	ianore	Huitoto Murui	i a n ɔ ɾ ɛ
20	thiesen1998/186/17	CERC	mi̵jcónu	Bora	m i̵ x kʰ o n u
21	minor1971/22/21	CERC	iánori	Huitoto Muinane	i a n o ɾ i
22	burtch1983/104/8	CERC	iaì̵reì	Huitoto Murui	i aɯ̀ ɾ ɛi
23	thiesen1998/183/17	CERC	mihlle	Bora	m i ʔ tʰʃ e
24	thiesen1998/239/12	CERC	pí̵hí̵ré	Bora	pʰ i̵ ʔ i̵ r e
25	thiesen1998/183/19	CERC	mihlléwa	Bora	m i ʔ tʰʃ e kʷ a
26	thiesen1998/186/15	CERC	mí̵jcohóóne	Bora	m i̵ x kʰ o ʔ oo n e
27	burtch1983/160/1	CERC	llaì̵te	Huitoto Murui	dʑ aɯ̀ t ɛ
28	minor1971/11/16	CERC	coráì̵de	Huitoto Muinane	k o ɾ a ɯ̀ d ɛ
29	minor1971/54/4	CERC	oni bá	Huitoto Muinane	o n i # b a
30	thiesen1998/186/15	CERC	mí̵jcoho	Bora	m i̵ x kʰ o ʔ o
31	burtch1983/240/4	CERC	ti̵gi̵de	Huitoto Murui	t ɯ g ɯ d ɛ
32	minor1971/48/15	CERC	nagápenerie	Huitoto Muinane	n a g a p ɛ n ɛ ɾ i ɛ
33	minor1971/6/15	CERC	aí̵nomo	Huitoto Muinane	a ɯ́ n o m o
34	minor1971/13/35	CERC	ci̵ri̵de	Huitoto Muinane	k ɯ ɾ ɯ d ɛ
35	leach1969/159/36	CERC	xoáhonu	Ocaina	x o a ʔ õ ɯ
36	minor1971/3/1	CERC	abi̵	Huitoto Muinane	a b ɯ
37	leach1969/69/14	CERC	áán̈urah	Ocaina	a a n̥ ɯ r a ʔ
38	burtch1983/103/18	CERC	iaìro	Huitoto Murui	i ai ɾ ɔ
#
39	burtch1983/116/10	DAR	ite	Huitoto Murui	i t ɛ
40	thiesen1998/33/16	DAR	ajcu	Bora	a x kʰ u
41	minor1971/72/19	DAR	i̵éde	Huitoto Muinane	ɯ ɛ d ɛ
42	leach1969/115/22	DAR	juuh	Ocaina	ʔ ɯ ɯ ʔ
43	burtch1983/216/14	DAR	ruinaìtate	Huitoto Murui	ɾ u i n ai t a t ɛ
44	burtch1983/216/14	DAR	ruiretate	Huitoto Murui	ɾ u i ɾ ɛ t a t ɛ
45	minor1971/25/40	DAR	itde	Huitoto Muinane	i ɗ ɛ
46	burtch1983/86/14	DAR	fecade	Huitoto Murui	ɸ ɛ k a d ɛ
#
47	minor1971/39/10	GIR	ji̵rede	Huitoto Muinane	ʔ ɯ ɾ ɛ d ɛ
48	burtch1983/118/3	GIR	jabi̵de	Huitoto Murui	h a b ɯ d ɛ
49	thiesen1998/116/33	GIR	dóhllíyiba	Bora	tʰ o ʔ tʰʃ i ʝ i pʰ a
50	thiesen1998/116/32	GIR	dólliyíívye	Bora	tʰ o tʰʃ i ʝ i: βʝ e
51	thiesen1998/172/14	GIR	lliyíívye	Bora	tʰʃ i ʝ i: βʝ e
52	thiesen1998/254/24	GIR	tállíyiáco	Bora	tʰ a tʰʃ i ʝ i a kʰ o
53	burtch1983/102/15	GIR	gi̵reride	Huitoto Murui	g ɯ ɾ ɛ ɾ i d ɛ
54	thiesen1998/305/22	GIR	vihyo	Bora	β i ʔʝ o
55	thiesen1998/305/23	GIR	vihyo	Bora	β i ʔʝ o
56	thiesen1998/116/32	GIR	dóhlliyíba	Bora	tʰ o ʔ tʰʃ i ʝ i pʰ a
57	thiesen1998/59/16	GIR	bóllíyiivye	Bora	pʰ o tʰʃ i ʝ i: βʝ e
58	burtch1983/243/9	GIR	uàì̵te	Huitoto Murui	uaɯ̀ t ɛ
59	thiesen1998/254/24	GIR	tállíyijcyo	Bora	tʰ a tʰʃ i ʝ i x kʰʝ o
60	thiesen1998/254/26	GIR	tállíyiivye	Bora	tʰ a tʰʃ i ʝ i: βʝ e
61	burtch1983/105/14	GIR	icaìfona iide	Huitoto Murui	i k ai ɸ ɔ n a # i i d ɛ
62	thiesen1998/59/15	GIR	bóhlliyíba	Bora	pʰ o ʔ tʰʃ i ʝ i pʰ a
63	burtch1983/102/14	GIR	gi̵renote	Huitoto Murui	g ɯ ɾ ɛ n ɔ t ɛ
64	burtch1983/253/2	GIR	virudote	Huitoto Murui	β i ɾ u d ɔ t ɛ
65	thiesen1998/116/33	GIR	dóllíyiivye	Bora	tʰ o tʰʃ i ʝ i: βʝ e
66	burtch1983/102/13	GIR	gi̵redote	Huitoto Murui	g ɯ ɾ ɛ d ɔ t ɛ
67	thiesen1998/59/16	GIR	bóhllíyiba	Bora	pʰ o ʔ tʰʃ i ʝ i pʰ a
68	burtch1983/118/3	GIR	jabi̵ride	Huitoto Murui	h a b ɯ ɾ i d ɛ
69	thiesen1998/172/15	GIR	llíyiivye	Bora	tʰʃ i ʝ i: βʝ e
70	thiesen1998/254/25	GIR	tálliyíívye	Bora	tʰ a tʰʃ i ʝ i: βʝ e
71	thiesen1998/59/15	GIR	bólliyíívye	Bora	pʰ o tʰʃ i ʝ i: βʝ e
#
72	burtch1983/249/11	OJO	ui	Huitoto Murui	u i
73	leach1969/133/11	OJO	ojúú	Ocaina	o ʔ ɯ́ ɯ́
74	thiesen1998/134/11	OJO	hálluu	Bora	ʔ a tʰʃ u:
75	leach1969/133/11	OJO	ojúúdsa	Ocaina	o ʔ ɯ́ ɯ́ dz a
76	burtch1983/249/11	OJO	uisi̵	Huitoto Murui	u i s ɯ
#
77	thiesen1998/212/17	PERR	oohííbye	Bora	o: ʔ i: pʰʝ e
78	thiesen1998/212/17	PERR	oohííbyemútsi	Bora	o: ʔ i: pʰʝ e m u tʰs i
79	leach1969/110/2	PERR	jonhxo	Ocaina	ʔ õ ʔ x o
80	burtch1983/219/7	PERR	ri̵ñoco	Huitoto Murui	ɾ ɯ nʲ ɔ k ɔ
81	minor1971/38/2	PERR	ji̵co	Huitoto Muinane	ʔ ɯ k o
82	burtch1983/149/7	PERR	ji̵coni̵aì̵	Huitoto Murui	h ɯ k ɔ n ɯ aɯ̀
83	burtch1983/149/6	PERR	ji̵co	Huitoto Murui	h ɯ k ɔ
84	thiesen1998/212/17	PERR	oohímye	Bora	o: ʔ i mʝ e
#
85	minor1971/9/31	RODILL	caìñí̵chiru	Huitoto Muinane	k a i nʲ ɯ́ kʔ i ɾ u
86	leach1969/109/24	RODILL	jojóónhxo	Ocaina	ʔ o ʔ o on ʔ x o
87	burtch1983/43/11	RODILL	caìñi̵ci̵ i̵fogi̵	Huitoto Murui	k ai nʲ ɯ k ɯ # ɯ ɸ ɔ g ɯ
88	minor1971/9/30	RODILL	caìñí̵ci̵	Huitoto Muinane	k a i nʲ ɯ́ k ɯ
89	thiesen1998/186/26	RODILL	mí̵moúhco	Bora	m i̵ m o u ʔ kʰ o
90	burtch1983/43/11	RODILL	caìñi̵ci̵ i̵fo	Huitoto Murui	k ai nʲ ɯ k ɯ # ɯ ɸ ɔ
91	minor1971/67/31	RODILL	tdi̵copo	Huitoto Muinane	ɗ ɯ k o p o
92	thiesen1998/186/23	RODILL	mí̵moco	Bora	m i̵ m o kʰ o
93	thiesen1998/186/26	RODILL	mí̵móuhjáco	Bora	m i̵ m o u ʔ x a kʰ o
94	minor1971/9/28	RODILL	caìñi̵	Huitoto Muinane	k a i nʲ ɯ
#
95	thiesen1998/120/17	PART	dótséuhjáco	Bora	tʰ o tʰs e u ʔ x a kʰ o
96	thiesen1998/242/9	PART	pí̵wajcáro	Bora	pʰ i̵ kʷ a x kʰ a r o
97	thiesen1998/336/8	PART	wáhvájaba	Bora	kʷ a ʔ β a x a pʰ a
98	thiesen1998/312/20	PART	wáchérejco	Bora	kʷ a kʰʔ e r e x kʰ o
99	burtch1983/69/20	PART	di̵beji	Huitoto Murui	d ɯ b ɛ h i
100	thiesen1998/82/21	PART	cátséuhjáco	Bora	kʰ a tʰs e u ʔ x a kʰ o
101	thiesen1998/121/6	PART	dótsúriivye	Bora	tʰ o tʰs u r i: βʝ e
102	thiesen1998/165/24	PART	kítséuhjáco	Bora	kʰ i tʰs e u ʔ x a kʰ o
104	thiesen1998/82/21	PART	cátséuhcu	Bora	kʰ a tʰs e u ʔ kʰ u
105	thiesen1998/110/25	PART	dí̵tsúriáco	Bora	tʰ i̵ tʰs u r i a kʰ o
106	thiesen1998/260/16	PART	táhwaba	Bora	tʰ a ʔ kʷ a pʰ a
107	burtch1983/234/4	PART	taì̵node	Huitoto Murui	t aɯ̀ n ɔ d ɛ
