# Wordlist

# META
@date:2013-07-16
@doculect:Huitoto Muinane, hto
@source_title:Automatically created wordlist, by lingpy.

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
108	thiesen1998/165/24	PART	kítséuhcu	Bora	kʰ i tʰs e u ʔ kʰ u
109	burtch1983/233/16	PART	taì̵llude	Huitoto Murui	t aɯ̀ dʑ u d ɛ
110	thiesen1998/312/20	PART	wáchéreáco	Bora	kʷ a kʰʔ e r e a kʰ o
111	thiesen1998/242/9	PART	pí̵wajco	Bora	pʰ i̵ kʷ a x kʰ o
112	thiesen1998/284/26	PART	tsi̵i̵máva	Bora	tʰs i̵: m a β a
113	thiesen1998/120/17	PART	dótséuhcu	Bora	tʰ o tʰs e u ʔ kʰ u
114	thiesen1998/238/22	PART	pí̵dijcyo	Bora	pʰ i̵ tʰ i x kʰʝ o
115	thiesen1998/336/8	PART	wávájaave	Bora	kʷ a β a x a: β e
116	thiesen1998/337/26	PART	wáwajcáro	Bora	kʷ a kʷ a x kʰ a r o
117	thiesen1998/110/25	PART	dí̵tsúrijco	Bora	tʰ i̵ tʰs u r i x kʰ o
118	burtch1983/234/5	PART	taì̵rudaìte	Huitoto Murui	t aɯ̀ ɾ u d ai t ɛ
119	burtch1983/233/10	PART	taì̵de	Huitoto Murui	t aɯ̀ d ɛ
120	burtch1983/64/11	PART	dete	Huitoto Murui	d ɛ t ɛ
121	thiesen1998/163/33	PART	kíchéreáco	Bora	kʰ i kʰʔ e r e a kʰ o
122	thiesen1998/238/22	PART	pí̵diáco	Bora	pʰ i̵ tʰ i a kʰ o
123	burtch1983/26/7	PART	anafebeji	Huitoto Murui	a n a ɸ ɛ b ɛ h i
124	minor1971/64/13	PART	teríbicaì	Huitoto Muinane	t ɛ ɾ i b i k a i
125	thiesen1998/163/33	PART	kíchérejco	Bora	kʰ i kʰʔ e r e x kʰ o
126	thiesen1998/260/16	PART	táwaave	Bora	tʰ a kʷ a: β e
127	thiesen1998/337/26	PART	wáwajco	Bora	kʷ a kʷ a x kʰ o
#
128	thiesen1998/241/26	PECH	pí̵uji̵	Bora	pʰ i̵ u x i̵
129	minor1971/35/5	PECH	jogóbe	Huitoto Muinane	ʔ o g o b ɛ
130	thiesen1998/190/11	PECH	mújpañe	Bora	m u x pʰ a nʲ e
131	leach1969/75/28	PECH	bagóóhya	Ocaina	b a g o o ʔ ʑ a
132	leach1969/121/15	PECH	monn̈o	Ocaina	m õ n̥ o
133	burtch1983/180/10	PECH	monoì̵	Huitoto Murui	m ɔ n ɔ ɯ̀
134	minor1971/46/29	PECH	monoì̵	Huitoto Muinane	m o n o ɯ̀
135	burtch1983/142/12	PECH	jogobe	Huitoto Murui	h ɔ g ɔ b ɛ
#
136	burtch1983/210/11	CORRECT	raìse	Huitoto Murui	ɾ ai s ɛ
#
137	thiesen1998/218/6	LIMPI	páácyúme̱i	Bora	pʰ a: kʰʝ u m e i
138	leach1969/149/35	LIMPI	tyoon	Ocaina	tʑ o õ
139	thiesen1998/91/15	LIMPI	córí̵	Bora	kʰ o r i̵
140	burtch1983/173/9	LIMPI	mare	Huitoto Murui	m a ɾ ɛ
141	thiesen1998/222/26	LIMPI	paacyu	Bora	pʰ a: kʰʝ u
142	thiesen1998/91/15	LIMPI	córí̵h	Bora	kʰ o r i̵ ʔ
143	thiesen1998/290/8	LIMPI	tsúmi̵jtso	Bora	tʰs u m i̵ x tʰs o
144	thiesen1998/91/17	LIMPI	córi̵jtso	Bora	kʰ o r i̵ x tʰs o
145	leach1969/96/21	LIMPI	fónjun	Ocaina	ɸ on ʔ ɯn
146	minor1971/60/1	LIMPI	rapóde	Huitoto Muinane	ɾ a p o d ɛ
147	thiesen1998/218/11	LIMPI	páhcyuba	Bora	pʰ a ʔ kʰʝ u pʰ a
148	leach1969/112/14	LIMPI	joraavi	Ocaina	ʔ o r a a β i
149	minor1971/17/9	LIMPI	dotde	Huitoto Muinane	d o ɗ ɛ
150	thiesen1998/202/2	LIMPI	nítyaave	Bora	n i tʰʝ a: β e
151	burtch1983/103/4	LIMPI	gi̵te	Huitoto Murui	g ɯ t ɛ
152	thiesen1998/222/26	LIMPI	paajyúcu	Bora	pʰ a: xʝ u kʰ u
153	thiesen1998/218/11	LIMPI	pácyuuve	Bora	pʰ a kʰʝ u: β e
#
154	leach1969/151/26	ESTE	uhyoohxomó	Ocaina	ɯ ʔ ʑ o o ʔ x o m o
155	thiesen1998/206/36	ESTE	nuhba tsánejcu	Bora	n u ʔ pʰ a # tʰs a n e x kʰ u
156	leach1969/79/11	ESTE	bu	Ocaina	b ɯ
157	thiesen1998/38/11	ESTE	ááméjú icyánéjcu	Bora	a: m e x u # i kʰʝ a n e x kʰ u
158	leach1969/76/1	ESTE	bahí	Ocaina	b a ʔ i
159	burtch1983/35/12	ESTE	bie	Huitoto Murui	b i ɛ
160	minor1971/7/12	ESTE	bedá	Huitoto Muinane	b ɛ d a
#
161	leach1969/153/32	ELLOS	uuhya	Ocaina	ɯ ɯ ʔ ʑ a
162	minor1971/16/11	ELLOS	daì̵oì̵	Huitoto Muinane	d a ɯ̀ o ɯ̀
163	minor1971/5/27	ELLOS	apémaì̵lli̵noì̵	Huitoto Muinane	a p ɛ m a ɯ̀ dʑ ɯ n o ɯ̀
164	minor1971/5/26	ELLOS	apémaci̵	Huitoto Muinane	a p ɛ m a k ɯ
165	leach1969/154/43	ELLOS	úúsa	Ocaina	ɯ́ ɯ́ s a
166	leach1969/153/42	ELLOS	um̈á	Ocaina	ɯ m̥ a
167	leach1969/153/42	ELLOS	uum̈a	Ocaina	ɯ ɯ m̥ a
168	leach1969/154/43	ELLOS	jáá	Ocaina	ʔ a a
169	leach1969/154/43	ELLOS	jari	Ocaina	ʔ a r i
170	leach1969/153/42	ELLOS	uum̈ája	Ocaina	ɯ ɯ m̥ a ʔ a
171	burtch1983/112/3	ELLOS	imaci̵	Huitoto Murui	i m a k ɯ
172	minor1971/16/7	ELLOS	dai̵lli̵noì̵	Huitoto Muinane	d a ɯ dʑ ɯ n o ɯ̀
173	burtch1983/108/3	ELLOS	ie	Huitoto Murui	i ɛ
174	thiesen1998/107/17	ELLOS	di̱í̱tye	Bora	tʰ i i tʰʝ e
175	thiesen1998/107/17	ELLOS	di̱tye	Bora	tʰ i tʰʝ e
#
176	thiesen1998/258/22	CAZ	tááva	Bora	tʰ a: β a
177	minor1971/59/38	CAZ	raóde	Huitoto Muinane	ɾ a o d ɛ
178	thiesen1998/258/23	CAZ	taava	Bora	tʰ a: β a
179	leach1969/116/6	CAZ	juunno	Ocaina	ʔ ɯ ɯn n o
180	thiesen1998/258/22	CAZ	taáva	Bora	tʰ a a β a
181	thiesen1998/296/35	CAZ	ulle	Bora	u tʰʃ e
182	thiesen1998/170/22	CAZ	lliiñája	Bora	tʰʃ i: nʲ a x a
183	thiesen1998/170/23	CAZ	llííñajaa	Bora	tʰʃ i: nʲ a x a:
#
185	thiesen1998/194/12	RECT	námehéju	Bora	n a m e ʔ e x u
186	thiesen1998/280/3	RECT	tsatújkeve	Bora	tʰs a tʰ u x kʰ e β e
187	thiesen1998/270/15	RECT	tújkévéh	Bora	tʰ u x kʰ e β e ʔ
188	burtch1983/28/17	RECT	atona	Huitoto Murui	a t ɔ n a
189	thiesen1998/155/5	RECT	í̵mi̵̱á	Bora	i̵ m i̵ a
190	thiesen1998/276/32	RECT	tsaí̵í̵buwáre	Bora	tʰs a i̵i̵ pʰ u kʷ a r e
191	leach1969/97/21	RECT	fóóhtya	Ocaina	ɸ o o ʔ tʑ a
192	thiesen1998/276/32	RECT	tsaí̵í̵buwa	Bora	tʰs a i̵i̵ pʰ u kʷ a
193	thiesen1998/270/15	RECT	tújkévé	Bora	tʰ u x kʰ e β e
#
194	burtch1983/256/11	CARN	i̵esi̵	Huitoto Murui	ɯ ɛ s ɯ
195	thiesen1998/134/27	CARN	héécoó	Bora	ʔ e: kʰ o o
196	burtch1983/168/16	CARN	lli̵ci̵si	Huitoto Murui	dʑ ɯ k ɯ s i
197	minor1971/63/16	CARN	ri̵i̵ri̵ga	Huitoto Muinane	ɾ ɯ ɯ ɾ ɯ g a
198	burtch1983/114/5	CARN	isi	Huitoto Murui	i s i
199	thiesen1998/111/17	CARN	doó	Bora	tʰ o o
200	minor1971/68/35	CARN	uàti̵	Huitoto Muinane	u a t ɯ
201	leach1969/133/36	CARN	onhaanjin	Ocaina	õ ʔ a ã ʔ ĩ
202	thiesen1998/253/13	CARN	tájuta	Bora	tʰ a x u tʰ a
203	thiesen1998/134/27	CARN	hééco	Bora	ʔ e: kʰ o
#
204	burtch1983/54/18	VOMIT	ci̵cuède	Huitoto Murui	k ɯ k uɛ̀ d ɛ
205	thiesen1998/141/28	VOMIT	íllímútuhcu	Bora	i tʰʃ i m u tʰ u ʔ kʰ u
206	thiesen1998/141/28	VOMIT	íllímútuhjáco	Bora	i tʰʃ i m u tʰ u ʔ x a kʰ o
207	minor1971/12/30	VOMIT	ci̵cúède	Huitoto Muinane	k ɯ k u ɛ d ɛ
208	burtch1983/55/2	VOMIT	ci̵cuìa	Huitoto Murui	k ɯ k ui a
209	leach1969/160/9	VOMIT	xoohxu	Ocaina	x o o ʔ x ɯ
#
210	leach1969/147/44	FUEG	tyaaro	Ocaina	tʑ a a r o
211	burtch1983/113/11	FUEG	iraì	Huitoto Murui	i ɾ ai
212	thiesen1998/94/2	FUEG	cújuwááñe	Bora	kʰ u x u kʷ a: nʲ e
213	thiesen1998/94/2	FUEG	cúújuwa	Bora	kʰ u: x u kʷ a
214	thiesen1998/94/2	FUEG	cuujúwa	Bora	kʰ u: x u kʷ a
215	minor1971/24/38	FUEG	iráìci̵	Huitoto Muinane	i ɾ a i k ɯ
#
216	thiesen1998/285/22	BLANC	tsí̵tsí̵	Bora	tʰs i̵ tʰs i̵
217	thiesen1998/285/22	BLANC	tsí̵tsí̵h	Bora	tʰs i̵ tʰs i̵ ʔ
218	leach1969/98/35	BLANC	furáánñ̈a	Ocaina	ɸ ɯ r a ã nʲ̈ a
#
219	burtch1983/213/4	CAV	raì̵te	Huitoto Murui	ɾ aɯ̀ t ɛ
220	thiesen1998/280/31	CAV	tsehdi	Bora	tʰs e ʔ tʰ i
221	thiesen1998/326/28	CAV	wánoáco	Bora	kʷ a n o a kʰ o
222	thiesen1998/73/33	CAV	cánojco	Bora	kʰ a n o x kʰ o
223	thiesen1998/326/28	CAV	wánojco	Bora	kʷ a n o x kʰ o
224	leach1969/99/18	CAV	fuuso	Ocaina	ɸ ɯ ɯ s o
225	burtch1983/234/11	CAV	taì̵te	Huitoto Murui	t aɯ̀ t ɛ
226	minor1971/60/33	CAV	raì̵tde	Huitoto Muinane	ɾ a ɯ̀ ɗ ɛ
227	burtch1983/126/1	CAV	jaì̵bede	Huitoto Murui	h aɯ̀ b ɛ d ɛ
228	thiesen1998/73/33	CAV	cánoáco	Bora	kʰ a n o a kʰ o
229	thiesen1998/280/31	CAV	tsehdícyu	Bora	tʰs e ʔ tʰ i kʰʝ u
230	thiesen1998/314/28	CAV	wágoáco	Bora	kʷ a k o a kʰ o
231	thiesen1998/130/15	CAV	ejúva	Bora	e x u β a
232	thiesen1998/314/28	CAV	wágojco	Bora	kʷ a k o x kʰ o
#
233	burtch1983/231/8	DERECH	si̵ide	Huitoto Murui	s ɯ i d ɛ
234	thiesen1998/280/3	DERECH	tsatújkeve	Bora	tʰs a tʰ u x kʰ e β e
235	thiesen1998/270/15	DERECH	tújkévéh	Bora	tʰ u x kʰ e β e ʔ
236	thiesen1998/270/16	DERECH	tújkévé	Bora	tʰ u x kʰ e β e
237	burtch1983/28/17	DERECH	atona	Huitoto Murui	a t ɔ n a
238	thiesen1998/155/5	DERECH	í̵mi̵̱á	Bora	i̵ m i̵ a
239	burtch1983/184/7	DERECH	nabeji	Huitoto Murui	n a b ɛ h i
240	thiesen1998/270/15	DERECH	tújkévé	Bora	tʰ u x kʰ e β e
241	thiesen1998/270/16	DERECH	tújkévéh	Bora	tʰ u x kʰ e β e ʔ
242	minor1971/29/3	DERECH	jaí̵ci̵na	Huitoto Muinane	ʔ a ɯ́ k ɯ n a
243	leach1969/97/21	DERECH	fóóhtya	Ocaina	ɸ o o ʔ tʑ a
#
244	minor1971/49/9	ATAR	naì̵tdáde	Huitoto Muinane	n a ɯ̀ ɗ a d ɛ
245	minor1971/38/29	ATAR	ji̵llíde	Huitoto Muinane	ʔ ɯ dʑ i d ɛ
246	leach1969/100/5	ATAR	gaan	Ocaina	g a ã
247	burtch1983/174/15	ATAR	maì̵te	Huitoto Murui	m aɯ̀ t ɛ
248	thiesen1998/115/5	ATAR	dohjí̵nu	Bora	tʰ o ʔ x i̵ n u
249	thiesen1998/100/15	ATAR	chíaco	Bora	kʰʔ i a kʰ o
250	thiesen1998/100/15	ATAR	chijchu	Bora	kʰʔ i x kʰʔ u
251	minor1971/12/8	ATAR	cuìnáde	Huitoto Muinane	k u i n a d ɛ
252	burtch1983/53/12	ATAR	cuìnade	Huitoto Murui	k ui n a d ɛ
253	leach1969/131/32	ATAR	ocááfu	Ocaina	o k a a ɸ ɯ
#
254	burtch1983/65/6	NARIZ	dofo	Huitoto Murui	d ɔ ɸ ɔ
255	leach1969/149/24	NARIZ	tyoofo	Ocaina	tʑ o o ɸ o
256	minor1971/17/2	NARIZ	dopo	Huitoto Muinane	d o p o
257	thiesen1998/271/6	NARIZ	tújuho	Bora	tʰ u x u ʔ o
#
258	burtch1983/29/9	GUSAN	aì̵ci̵	Huitoto Murui	aɯ̀ k ɯ
259	minor1971/55/42	GUSAN	pecocongo	Huitoto Muinane	p ɛ k o k o ŋ o
260	leach1969/113/22	GUSAN	judsaaco	Ocaina	ʔ ɯ dz a a k o
261	leach1969/70/34	GUSAN	aguuma	Ocaina	a g ɯ ɯ m a
262	burtch1983/30/6	GUSAN	aì̵gi̵ro	Huitoto Murui	aɯ̀ g ɯ ɾ ɔ
#
263	minor1971/62/9	MOJ	ri̵aìtde	Huitoto Muinane	ɾ ɯ a i ɗ ɛ
264	thiesen1998/175/15	MOJ	májaúcu	Bora	m a x a u kʰ u
265	thiesen1998/191/26	MOJ	múriúcu	Bora	m u r i u kʰ u
266	thiesen1998/175/14	MOJ	majájtso	Bora	m a x a x tʰs o
267	thiesen1998/191/25	MOJ	múriúcu	Bora	m u r i u kʰ u
268	leach1969/104/42	MOJ	jaavu	Ocaina	ʔ a a β ɯ
269	leach1969/103/24	MOJ	jááji	Ocaina	ʔ a a ʔ i
270	thiesen1998/175/15	MOJ	májajtso	Bora	m a x a x tʰs o
271	thiesen1998/191/28	MOJ	múhriba	Bora	m u ʔ r i pʰ a
272	thiesen1998/175/14	MOJ	májaúcu	Bora	m a x a u kʰ u
273	thiesen1998/240/23	MOJ	pi̵pájcho	Bora	pʰ i̵ pʰ a x kʰʔ o
274	thiesen1998/240/24	MOJ	pí̵pajcho	Bora	pʰ i̵ pʰ a x kʰʔ o
275	thiesen1998/240/24	MOJ	pí̵paahícyu	Bora	pʰ i̵ pʰ a: ʔ i kʰʝ u
276	thiesen1998/191/28	MOJ	múriivye	Bora	m u r i: βʝ e
277	thiesen1998/175/17	MOJ	májaave	Bora	m a x a: β e
278	thiesen1998/191/25	MOJ	muríjcho	Bora	m u r i x kʰʔ o
279	burtch1983/217/11	MOJ	ri̵aìde	Huitoto Murui	ɾ ɯ ai d ɛ
280	thiesen1998/191/23	MOJ	múríjchóme̱i	Bora	m u r i x kʰʔ o m e i
281	burtch1983/182/26	MOJ	mutade	Huitoto Murui	m u t a d ɛ
282	thiesen1998/240/20	MOJ	pí̵páh	Bora	pʰ i̵ pʰ a ʔ
283	thiesen1998/240/23	MOJ	pí̵paahícyu	Bora	pʰ i̵ pʰ a: ʔ i kʰʝ u
284	thiesen1998/240/26	MOJ	pí̵pájchóme̱i	Bora	pʰ i̵ pʰ a x kʰʔ o m e i
285	thiesen1998/240/20	MOJ	pí̵pá	Bora	pʰ i̵ pʰ a
286	leach1969/75/5	MOJ	baaga	Ocaina	b a a g a
#
287	burtch1983/193/3	TIR	nitade	Huitoto Murui	n i t a d ɛ
288	minor1971/18/44	TIR	di̵i̵di̵de	Huitoto Muinane	d ɯ ɯ d ɯ d ɛ
289	thiesen1998/114/25	TIR	dohji̵	Bora	tʰ o ʔ x i̵
290	thiesen1998/332/12	TIR	wátíiivye	Bora	kʷ a tʰ i i: βʝ e
291	thiesen1998/39/15	TIR	ahmu	Bora	a ʔ m u
292	thiesen1998/327/25	TIR	wájojco	Bora	kʷ a x o x kʰ o
293	thiesen1998/39/16	TIR	aamu	Bora	a: m u
294	thiesen1998/323/10	TIR	wákyéehco	Bora	kʷ a kʰʝ e e ʔ kʰ o
295	thiesen1998/39/15	TIR	aámu	Bora	a a m u
296	burtch1983/192/3	TIR	niji̵de	Huitoto Murui	n i h ɯ d ɛ
297	thiesen1998/323/10	TIR	wákyéehjáco	Bora	kʷ a kʰʝ e e ʔ x a kʰ o
298	leach1969/128/15	TIR	ñiih	Ocaina	nʲ i i ʔ
299	thiesen1998/327/25	TIR	waao	Bora	kʷ a: o
300	minor1971/55/36	TIR	paì̵tde	Huitoto Muinane	p a ɯ̀ ɗ ɛ
