NUMBER	GLOSS	OMEGAWIKI
1	first person marker	5450
2	two	6248
3	second person marker	5456
4	who/what	5490
4	who/what	5491
5	tongue	5440
6	name	5995
7	eye	5511
8	heart	5475
9	tooth	5946
10	verbal negation	5
11	finger-nail/toe-nail	5529
11	finger-nail/toe-nail	1244402
12	louse	1510396
12	louse	1510400
13	tear (noun)	6805
14	water	4118
15	dead	6660
