NUMBER	GLOSS	OMEGAWIKI
1	ashes	264
2	belly	5516
3	big	5437
4	bird	400
5	black	1341728
6	breast	5992
7	cloud	623
8	cold	5639
9	come	6056
10	drink	5991
11	dry	5989
12	earth	2063
13	eat	5827
14	far	5997
15	fat n.	5624
16	fly v.	6052
17	foot	5672
18	good	443659
19	green	6032
20	hair	446278
21	head	5527
22	hear	5999
23	heart	5475
24	heavy	5451
25	kill	6023
26	knee	5918
27	leaf	2124
28	liver	5476
29	long	5438
30	man	6397
31	many	5423
32	meat	2300
33	mountain	2421
34	mouth	332000
35	near	869106
36	neck	5823
37	night	5486
38	not	5495
39	person	333730
40	rain	3100
41	red	1333710
42	road	3258
43	root	3269
44	round	5984
45	sand	3305
46	say	6075
47	see	6003
48	short	6746
49	sit	6022
50	skin	3430
51	sleep	6519
52	small	5509
53	smoke	3451
54	snake	3388
55	stand	6053
56	star	6041
57	swim	6050
58	that	1149393
59	thin	5990
60	walk (go)	6054
61	white	5825
62	woman	4165
63	worm	5466
64	year	5478
65	yellow	6031

