ID	HAUSA	ENGLISH	OMEGAWIKI
313	gṑbe	tomorrow	5808
314	ìnā	where?	5492
315	yàushè	when?	5493
316	mḕ	what?	5491
317	wā̀	who?	5490
318	yā̀yā̀	how?	5494
319	nawà	how many?	353440
320	nân	here	1287831
321	cân	there	858309
322	wannàn	this	5458
323	wancàn	that	1149393
324	cikī	inside	6571
325	wàje	outside	342558
326	à kâi	atop	1108044
327	ƙàrƙashī	under	6199
328	tsàkānī	between	334412
329	dāma	right	436024
330	hagu	left	1499731
331	arḕwa	north	6550
332	kudù	south	6542
333	gabàs	east	8131
334	yâmma	west	7537
335	àkwai àbinci	there is	6480
336	bābù àbinci	there is not	5495
337	yā ci	eat	5827
338	yā shā	drink	5991
339	yā haɗìyē	swallow	380335
340	yā yi	do	351006
341	yā tàfi	go	334831
342	yā zō	come	6056
343	yā kōmà	return	159011
344	yā shìga	go in	341348
345	yā fìta	go out	480460
346	yā gudù	run	6323
347	yā hau	mount	335553
348	yā ganī	see	6003
349	yā ji	hear	5999
350	yā ji (wārī)	smell	6520
351	yā taɓā̀	touch	8232
352	yā ɗanɗànā	taste	1051228
353	yā bugā̀	hit	6044
354	yā gōgḕ	rub	6062
355	yā kashḕ	kill	6023
356	yā jā	pull	6071
357	yā tūrḕ	push	6068
358	yā ɗaukā̀	lift	156785
359	yā ajìyē	put down	429615
360	yā kwântā	lie down	1425860
361	yā hūtā̀	rest	1366972
362	yā gàji	be tired	7117
363	yā būɗḕ	open	513017
364	yā rufḕ	close	448880
365	yā binnḕ	bury	702018
366	yā tārā̀	gather	1022541
367	yā rakà shi	accompany	638652
368	yā ƙōnḕ	burn	6039
369	yā dafā̀	cook	479132
370	yā gasā̀	roast	903088
371	yā sōyā̀	fry	425934
372	yā tàfasā̀	boil	347033
373	yā fàɗā	speak	6656
374	yā tàmbayā̀	ask	5717
375	yā amsā̀	answer	5610
376	yā ƙi	refuse	1103325
377	yā murɗḕ	twist	1541116
378	yā sā̀rā	chop	1329931
379	yā yankā̀	cut	6043
380	yā yāgḕ	tear	704859
381	yā ginā̀	build	7714
382	yā sā̂ (tufāfī̀)	dress	351289
383	yā tūɓḕ (tufāfī̀)	undress	710500
384	yā shiryā̀	arrange	 6432
385	yā ɓōyḕ	hide	161806
386	yā sā̀tā	steal	336072
387	yā tàimàkē shì	help	830463
388	yā fāɗī̀	fall	5622
389	yā sanī̀	know	6004
390	yā tunā̀	remember	335793
391	yā mântā	forget	6328
392	yā haƙā̀	dig	6024
393	yā kṑyā	learn	157124
394	yā rabā̀	divide	486237
395	yā hūdā̀	pierce	1511162
396	yā matsà (lḕmū)	squeeze	6017
397	yā riƙḕ	hold	6060
398	yā kṑrā	drive away	340699
399	yā kāmā̀	seize	335306
400	yā bā shì	give	6059
401	yā cī̀zā	bite	5993
402	yā hàrbā	shoot	522875
403	yā sàyi wuƙā	buy	8061
404	yā sayar dà shī	sell	6439
405	yā kirā	call	470997
406	yā zaunā̀	sit	6022
407	yā tāshì	stand up	630856
408	tā haifù	give birth	541498
409	yā jirā	wait for	6530
410	yā mutù	die	6245
411	yā bī shì	follow	471020
412	yā jēfā̀	throw	6072
413	yā ƙērā̀	forge	1507103
414	yā ƙārā̀	increase	447326
415	yā gāmā̀	finish	7146
416	yā sōmā̀	begin	7451
417	yā cikà shi	fill	962533
418	yā nūnā̀	show	446099
419	yā būshḕ	dry up	7277
420	yā ɗinkā̀	sew	6073
421	yā fī shì	surpass	1525871
422	yā ɗaurḕ	tie	844574
423	yā kwancḕ	untie	1510931
424	yā ɗūrā̀	pour	621011
425	yā shārḕ	sweep	1466959
426	yā hūrā̀	blow	1375415
427	yā jiƙā̀ shi	moisten	1061652
428	yā sāmù	obtain	334733
429	yā saƙā̀	weave	1280854
430	tā kitsḕ	plait	703135
431	yā fashḕ	break in pieces	333586
432	yā karyḕ	(stick) snapped	1542724
433	yā tsinkḕ	(rope) broke	1542733
434	yā wankḕ	wash	6069

