NUMBER	GLOSS	OMEGAWIKI
1	all	1173416
2	ashes	264
3	bark	5439
4	belly	5516
5	big	5437
6	bird	400
7	bite	5993
8	black	1341728
9	blood	411
10	bone	5983
11	breast	5992
12	burn tr.	1299599
13	claw (nail)	828398
14	cloud	623
15	cold	5639
16	come	6056
17	die	6245
18	dog	966
19	drink	5991
20	dry	5989
21	ear	5510
22	earth	2063
23	eat	5827
24	egg	340828
25	eye	5511
26	fat n.	5624
27	feather	5436
28	fire	1446
29	fish	1460
30	fly v.	6052
31	foot	5672
32	full	6040
33	give	6059
34	good	443659
35	green	6032
36	hair	446278
37	hand	5616
38	head	5527
39	hear	5999
40	heart	5475
41	horn	5981
42	I	5450
43	kill	6023
44	knee	5918
45	know	6004
46	leaf	2124
47	lie	6005
48	liver	5476
49	long	5438
50	louse	1510396
51	man	6397
52	many	5423
53	meat	2300
54	moon	5729
55	mountain	2421
56	mouth	332000
57	name	5995
58	neck	5823
59	new	5484
60	night	5486
61	nose	5471
62	not	5495
63	one	6244
64	person	333730
65	rain	3100
66	red	1333710
67	road	3258
68	root	3269
69	round	5984
70	sand	3305
71	say	6075
72	see	6003
73	seed	3361
74	sit	6022
75	skin	3430
76	sleep	6519
77	small	5509
78	smoke	3451
79	stand	6053
80	star	6041
81	stone	3633
82	sun	5850
83	swim	6050
84	tail	5468
85	that	1149393
86	this	5458
87	thou	5459
88	tongue	5440
89	tooth	5946
90	tree	3854
91	two	6248
92	walk(go)	6054
93	warm	5485
94	water	4118
95	we	5455
96	what	5491
97	white	5825
98	who	5490
99	woman	4165
100	yellow	6031
101	far	5997
102	heavy	5451
103	near	869106
104	salt	5599
105	short	6746
106	snake	3388
107	thin	5990
108	wind	4160
109	worm	5466
110	year	5478
