NUMBER	GLOSS	OMEGAWIKI
1	armpit	818235
2	ashes	264
3	belly	5516
4	big	5437
5	bite	5993
6	black	1341728
7	blood	411
8	bone	5983
9	breast	5992
10	to burn (intr.)	6039
11	by-and-by	1167115
12	chest	6532
13	to climb	479387
14	to cry	7709
15	to cut	6043
16	dog	966
17	down, below	5797
17	down, below	6199
18	ear	5510
19	east	8131
20	to eat	5827
21	egg	340828
22	elbow	422180
23	excrement	332137
24	eye	5511
25	to fall	5622
26	far	5997
27	fat, grease	5624
27	fat, grease	1510501
28	fingernail	5529
29	fire	1446
30	fly (N)	6261
31	vegetable food	1505
32	foot	5672
33	forehead	1241509
34	to get, pick up	1511027
34	to get, pick up	334733
35	to give	6059
36	to go	334831
37	ground	2063
38	hand	5616
39	head	5527
40	head hair	446278
41	hear	5999
42	heart	5475
43	to hit (with hand)	6044
44	hungry	6345
45	I	5450
46	knee	5918
47	leaf	2124
48	to leave it	7092
49	liver	5476
50	long	5438
51	to be lying down	1425860
52	many	5423
53	meat, animal	2300
54	moon	5729
55	mouth	332000
56	name	5995
57	nape	5862
58	north	6550
59	nose	5471
60	now, today	5936
60	now, today	5630
61	old man	1526622
62	one	6244
63	person, Aborigine	333730
64	rib	348225
65	rotten	7031
66	to see	6003
67	short	6746
68	to sit	6022
69	skin	3430
70	sky	7039
71	small	5509
72	to smell it	6520
73	smoke	3451
74	snake	3388
75	south	6542
76	to speak	6656
77	spear (N)	408915
78	spit (N)	6051
79	to be standing	6053
80	star	6041
81	stone	3633
82	sun	5850
83	tail	5468
84	thigh	348189
85	this	5458
86	throat	5861
87	tongue	5440
88	tooth	5946
89	tree	3854
90	two	6248
91	up	6531
92	urine	504787
93	water	4118
94	west	7537
95	what?	5491
96	where?	5492
97	who?	5490
98	wind	4160
99	woman	4165
100	you (sg.)	5456
101	shoulder	6186
102	upper arm	1541167
103	shin	1398936
104	to die	6245
105	to run	6323
106	to take	7077
107	to throw	6072
108	to spear	1544459
109	to laugh	5876
110	good	443659
111	bad	5650
112	to dig	6024
113	creek	4259
114	tomorrow	5808
115	three	156096
116	near	869106
117	hard	8173
118	he	5454
118	he	1505714
119	we two inclusive	496905
120	you two	5456
121	language	5713
122	dream (N)	8448
123	boomerang	1285089
124	shield	456348
125	spearthrower	867170
126	axe	333200
127	chin	6306
128	hip	707216
129	wing feather	5436
130	possum	1543631
131	pelican	1544449
132	fish	1460
133	mosquito	630453
134	grass	1675
135	mud	2428
136	cloud	623
137	shade	5966
138	sand	3305
139	hole	6857
140	heavy	5451
141	light	339690
142	soft	7907
143	dry (N, Adj)	5989
144	sickness	941
145	rain	3100
146	yamstick	1510840
147	string	5465
148	yam	1526651
149	goanna	2189
150	pandanus	1543627
151	mangrove (Avicennia sp.)	1510912
