NUMBER	GLOSS	OMEGAWIKI
1	blood	411
2	fish (noun)	1460
3	mountain	2421
4	star	6041
5	bone	5983
6	full	6040
7	name (noun)	5995
8	stone	3633
9	breast (woman’s)	5992
10	hand	5616
11	new	5484
12	sun	5850
13	come	6056
14	hear	5999
15	night (dark time)	5486
16	tongue	5440
17	die	6245
18	horn (animal part)	5981
19	nose	5471
20	tooth	5946
21	dog	966
22	I	5450
23	one	6244
24	tree	3854
25	drink (verb)	5991
26	knee	5918
27	path	4382
28	two	6248
29	ear	5510
30	leaf	2124
31	person	333730
32	water	4118
33	eye	5511
34	liver	5476
35	see	6003
36	we	5455
37	fire	1446
38	louse	1510396
39	skin	3430
40	you	5456
