ID	GLOSS	OMEGAWIKI
1	MAN	6397
2	WOMAN	4165
3	OLD OF HUMANS	5482
4	ALL	1173416
6	CHILD	568
9	BOY	5905
10	GIRL	6752
11	FATHER	5464
12	MOTHER	5463
13	SIBLING SAME SEX OLDER	1526616
14	SIBLING SAME SEX YOUNGER	1539816
15	SIBLING DIFFERENT SEX OLDER	1526616
16	SIBLING DIFFERENT SEX YOUNGER	1539816
24	I	5450
25	THOU	5459
26	HE	5454
28	YE	5459
29	THEY	352331
29	WE	5455
33	HEAD	5527
35	BRAINS	6504
37	FACE FOREHEAD	1241509
38	EAR	5510
39	EYE	5511
41	MOUTH	332000
42	NOSE	5471
44	TONGUE	5440
45	SALIVA	6259
46	TOOTH	5946
47	CHIN	6306
49	NECK	5823
50	THROAT	5861
51	NAPE	5862
53	BACK	5648
54	BUTTOCKS	356264
55	ARM	6894
57	ELBOW	422180
58	SHOULDER	6186
59	ARMPIT	818235
60	LEFT ARM	1499731
61	RIGHT ARM	436024
65	THUMB	7250
66	FINGERNAIL	5529
67	LEG	5665
68	UPPER LEG	1543636
70	CALF OF LEG	156660
71	KNEE	5918
72	BELLY	5516
73	STOMACH GUTS	5824
74	BREAST WOMAN	5992
75	CHEST	6532
77	NAVEL	7690
78	BLOOD	411
79	VEIN	8471
81	LIVER	5476
82	LUNG	334158
83	HEART	5475
84	BONE	5983
85	SKIN	3430
86	SWEAT	1250835
87	SORE	1103925
88	HAIR	446278
89	EXCREMENT	332137
90	URINE	504787
91	PENIS	5473
92	SHADOW	5966
93	NAME	5995
95	VULVA	7687
96	BIRD	400
98	WING	5528
99	TAIL OF BIRD	5468
100	EGG	340828
101	CASSOWARY	1543612
102	CHICKEN TAME	5778
103	CHICKEN WILD	5778
104	DOG	966
106	TAIL OF DOG	5468
107	MALE	6396
108	FEMALE	6393
109	FLY	6261
110	FISH	1460
111	CRAYFISH	1543617
112	LOUSE	1510396
114	MOSQUITO	630453
115	PIG	5836
116	MEAT	2300
117	FAT	5624
118	CROCODILE	791
119	FLYING FOX	1478231
120	FROG	1570
121	RAT	6233
122	SNAKE	3388
123	WALLABY	1355268
124	POSSUM TREE	1543631
125	POSSUM GROUND	1543631
126	BUTTERFLY	7316
127	BANANA	369665
128	BETELNUT	1431444
129	BETEL PEPPER VINE	1377747
130	LIME	422609
131	ALANG-ALANG GRASS	1543597
132	PANDANUS	1543627
133	POTATO	160661
134	SUGAR CANE	1310853
135	TARO	1510923
136	TARO SINGAPORE	1510923
137	YAM	1526651
138	YAM (DISCOREA ESCULENTA)	1526651
139	TOBACCO	420209
140	SAGO	420887
141	COCONUT TREE	1311390
142	RIPE COCONUT	419639
143	GREEN COCONUT	419639
144	TREE	3854
147	FILL UP	962533
148	FRUIT	6280
149	SAP	1510865
