NUMBER	GLOSS	OMEGAWIKI
1	ashes	264
2	belly	5516
3	big	5437
4	bird	400
5	black	1341728
6	blood	411
7	bone	5983
8	breast	5992
9	cloud	623
10	cold	5639
11	come	6056
12	die	6245
13	dog	966
14	drink	5991
15	dry	5989
16	ear	5510
17	earth	2063
18	eat	5827
19	egg	340828
20	eye	5511
21	far	5997
22	fat n.	5624
23	fire	1446
24	fish	1460
25	fly v.	6052
26	foot	5672
27	full	6040
28	give	6059
29	good	443659
30	green	6032
31	hair	446278
32	hand	5616
33	head	5527
34	hear	5999
35	heart	5475
36	heavy	5451
37	horn	5981
38	I	5450
39	kill	6023
40	knee	5918
41	know	6004
42	leaf	2124
43	liver	5476
44	long	5438
45	louse	1510396
45	louse	1510400
46	man	6397
47	many	5423
48	meat	2300
49	moon	5729
50	mountain	2421
51	mouth	332000
52	name	5995
53	near	869106
54	neck	5823
55	new	5484
56	night	5486
57	nose	5471
58	not	5495
59	one	6244
60	person	333730
61	rain	3100
62	red	1333710
63	road	3258
64	root	3269
65	round	5984
66	salt	5599
67	sand	3305
68	say	6075
69	see	6003
70	short	6746
71	sit	6022
72	skin	3430
73	sleep	6519
74	small	5509
75	smoke	3451
76	snake	3388
77	stand	6053
78	star	6041
79	stone	3633
80	sun	5850
81	swim	6050
82	tail	5468
83	that	1149393
84	thin	5990
85	this	5458
86	thou	5459
87	tongue	5440
88	tooth	5946
89	tree	3854
90	two	6248
91	walk (go)	6054
92	water	4118
93	what	5491
94	white	5825
95	who	5490
96	wind	4160
97	woman	4165
98	worm	5466
99	year	5478
100	yellow	6031
