NUMBER	GLOSS	OMEGAWIKI
1	I	5450
2	thou	5459
3	he	5454
4	we	5455
5	you	5456
6	they	352331
7	this	5458
8	that	1149393
9	here	1287831
10	there	858309
11	who	5490
12	what	5491
13	where	5492
14	when	5493
15	how	5494
16	not	5495
17	all	1173416
18	many	5423
19	some	5499
20	few	5500
21	other	1406403
22	one	6244
23	two	6248
24	three	156096
25	four	6253
26	five	156104
27	big	5437
28	long	5438
29	wide	5502
30	thick	5503
31	heavy	5451
32	small	5509
33	short	6746
34	narrow	5566
35	thin	5990
36	woman	4165
37	man (adult male)	6397
38	man (human being)	6397
39	child (a youth)	568
40	wife	5429
41	husband	5432
42	mother	5463
43	father	5464
44	animal	194
45	fish	1460
46	bird	400
47	dog	966
48	louse	1510396
49	snake	3388
50	worm	5466
51	tree	3854
52	forest	1533
53	stick (of wood)	5662
54	fruit	6280
55	seed	3361
56	leaf	2124
57	root	3269
58	bark (of tree)	5439
59	flower	1487
60	grass	1675
61	rope	5465
62	skin (of a person)	3430
63	meat (as in flesh)	1539792
64	blood	411
65	bone	5983
66	fat (noun)	5624
67	egg	340828
68	horn	5981
69	tail	5468
70	feather (rather not down)	5436
71	hair	446278
72	head	5527
73	ear	5510
74	eye	5511
75	nose	5471
76	mouth	332000
77	tooth (rather not molar)	5946
78	tongue	5440
79	fingernail	5529
80	foot	5672
81	leg	5665
82	knee	5918
83	hand	5616
84	wing	5528
85	belly	5516
86	guts	5824
87	neck	5823
88	back	5648
89	breast	5992
90	heart	5475
91	liver	5476
92	to drink	5991
93	to eat	5827
94	to bite	5993
95	to suck	6027
96	to spit	6051
97	to vomit	5617
98	to blow (as wind)	1375415
99	to breathe	5998
100	to laugh	5876
101	to see	6003
102	to hear	5999
103	to know (a fact)	6004
104	to think	6021
105	to smell (sense odor)	6520
106	to fear	6025
107	to sleep	6519
108	to live	478515
109	to die	6245
110	to kill	6023
111	to fight	6030
112	to hunt (transitive)	6046
113	to hit	6044
114	to cut	6043
115	to split	6048
116	to stab (or stick)	6045
117	to scratch (an itch)	6047
118	to dig	6024
119	to swim	6050
120	to fly	6052
121	to walk	6054
122	to come	6056
123	to lie (as on one's side)	6005
124	to sit	6022
125	to stand	6053
126	to turn (change direction)	6055
127	to fall (as in drop)	5622
128	to give	6059
129	to hold (in one's hand)	6060
130	to squeeze	6017
131	to rub	6062
132	to wash	6069
133	to wipe	6070
134	to pull	6071
135	to push	6068
136	to throw	6072
137	to tie	844574
138	to sew	6073
139	to count	6026
140	to say	6075
141	to sing	5540
142	to play	6010
143	to float	6457
144	to flow	961244
145	to freeze	6042
146	to swell	6454
147	sun	5850
148	moon	5729
149	star	6041
150	water	4118
151	to rain	5523
152	river	3253
153	lake	2061
154	sea (as in ocean)	6154
155	salt	5599
156	stone	3633
157	sand	3305
158	dust	1009
159	earth (as in soil)	2063
159	earth (as in soil)	5481
160	cloud	623
161	fog	1502
162	sky	7039
163	wind (as in breeze)	4160
164	snow	3455
165	ice	1837
166	smoke	3451
167	fire	1446
168	ashes	264
169	to burn (intransitive)	6039
170	road	3258
171	mountain	2421
172	red	1333710
173	green	6032
174	yellow	6031
175	white	5825
176	black	1341728
177	night	5486
178	day (daytime)	5477
179	year	5478
180	warm (as in weather)	5485
181	cold (as in weather)	5639
182	full	6040
183	new	5484
184	old	5482
185	good	443659
186	bad	5650
187	rotten (as, a log)	7031
188	dirty	5483
189	straight	5994
190	round	5984
191	sharp (as a knife)	5987
192	dull (as a knife)	1511061
193	smooth	5487
194	wet	7027
195	dry (adjective)	5989
196	right (correct)	7026
197	near	869106
198	far	5997
199	right (side)	436024
200	left (side)	1499731
201	at	6078
202	in	6077
203	with (accompanying)	5844
204	and	6464
205	if	6076
206	because	514093
207	name	5995
