NUMBER	RANK	WORD MEANING	BORROWED SCORE	AGE SCORE	ANALYZABILITY SCORE	REPRESENTATION SCORE	COMPOSITE SCORE	OMEGAWIKI
44	42	navel	0.878	0.860	0.982	1.000	0.741	7690
45	45	to stand	0.981	0.847	0.889	1.000	0.738	6053
46	46	to bite	0.964	0.861	0.887	1.000	0.736	5993
47	46	back	0.918	0.868	0.924	1.000	0.736	5648
48	48	wind	0.828	0.900	0.987	1.000	0.736	4160
49	49	smoke	0.916	0.863	0.929	1.000	0.734	3451
50	50	what?	0.971	0.804	0.939	1.000	0.732	5491
51	51	child (kin term)	0.929	0.866	0.930	0.976	0.730	7413
52	52	egg	0.910	0.846	0.945	1.000	0.728	340828
53	53	to give	0.913	0.878	0.907	1.000	0.727	6059
54	53	new	0.920	0.860	0.920	1.000	0.727	5484
55	53	to burn (intr.)	0.951	0.860	0.889	1.000	0.727	6039
56	56	not	0.965	0.880	0.974	0.878	0.726	5495
57	56	good	0.893	0.860	0.945	1.000	0.726	443659
58	58	to know	0.933	0.856	0.908	1.000	0.725	6004
59	59	knee	0.911	0.862	0.922	1.000	0.724	5918
60	59	sand	0.901	0.866	0.928	1.000	0.724	3305
61	61	to laugh	0.942	0.844	0.910	1.000	0.723	5876
62	61	to hear	0.953	0.848	0.895	1.000	0.723	5999
63	63	soil	0.900	0.883	0.954	0.951	0.722	5481
64	64	leaf	0.897	0.823	0.977	1.000	0.721	2124
65	64	red	0.926	0.864	0.900	1.000	0.721	1333710
66	66	liver	0.869	0.857	0.967	1.000	0.720	5476
67	67	to hide	0.928	0.847	0.913	1.000	0.718	161806
68	67	skin/hide	0.889	0.875	0.924	1.000	0.718	1505751
68	67	skin/hide	0.889	0.875	0.924	1.000	0.718	3430
69	67	to suck	0.940	0.860	0.888	1.000	0.718	6027
70	70	to carry	0.919	0.838	0.953	0.976	0.717	335263
71	71	ant	0.865	0.850	0.975	1.000	0.716	160271
72	71	heavy	0.911	0.874	0.901	1.000	0.716	5451
73	71	to take	0.900	0.898	0.887	1.000	0.716	7077
74	74	old	0.896	0.867	0.920	1.000	0.715	5482
75	75	to eat	0.920	0.840	0.925	1.000	0.714	5827
76	76	thigh	0.906	0.856	0.918	1.000	0.712	348189
77	76	thick	0.950	0.827	0.906	1.000	0.712	5503
78	78	long	0.956	0.824	0.898	1.000	0.707	5438
79	79	to blow	0.962	0.857	0.878	0.976	0.706	1375415
80	80	wood	0.860	0.871	0.940	1.000	0.705	741520
81	81	to run	0.976	0.833	0.867	1.000	0.704	6323
82	81	to fall	0.946	0.825	0.903	1.000	0.704	5622
83	83	eye	0.904	0.847	0.918	1.000	0.703	5511
84	84	ash	0.853	0.891	0.921	1.000	0.699	264
85	84	tail	0.883	0.813	0.973	1.000	0.699	5468
86	84	dog	0.838	0.869	0.960	1.000	0.699	966
87	87	to cry/weep	0.871	0.871	0.921	1.000	0.698	7709
88	88	to tie	0.879	0.836	0.948	1.000	0.697	844574
89	89	to see	0.918	0.842	0.900	1.000	0.695	6003
90	89	sweet	0.914	0.857	0.887	1.000	0.695	336426
91	91	rope	0.848	0.824	0.993	1.000	0.694	5465
92	91	shade/shadow	0.887	0.840	0.931	1.000	0.694	5966
93	91	bird	0.842	0.857	0.962	1.000	0.694	400
94	91	salt	0.848	0.838	0.976	1.000	0.694	5599
95	91	small	0.909	0.790	0.966	1.000	0.694	5509
96	96	wide	0.955	0.819	0.885	1.000	0.692	5502
97	97	star	0.830	0.859	0.970	1.000	0.691	6041
98	97	in	0.948	0.856	0.943	0.902	0.691	6077
99	99	hard	0.918	0.833	0.903	1.000	0.690	8173
100	100	to crush/grind	0.919	0.845	0.886	1.000	0.688	632491
100	100	to crush/grind	0.919	0.845	0.886	1.000	0.688	441895
