NUMBER	RANK	WORD MEANING	BORROWED SCORE	AGE SCORE	ANALYZABILITY SCORE	REPRESENTATION SCORE	COMPOSITE SCORE	OMEGAWIKI
1	1	fire	0.965	0.939	0.995	1.000	0.901	1446
2	2	nose	0.973	0.906	0.980	1.000	0.864	5471
3	3	to go	0.963	0.887	0.974	1.000	0.832	334831
4	4	water	0.909	0.926	0.987	1.000	0.831	4118
5	5	mouth	0.920	0.904	0.982	1.000	0.817	332000
6	6	tongue	0.934	0.908	0.954	1.000	0.808	5440
7	7	blood	0.904	0.890	1.000	1.000	0.805	411
8	7	bone	0.918	0.904	0.971	1.000	0.805	5983
9	9	2sg pronoun	0.958	0.893	0.933	1.000	0.798	5459
10	9	root	0.944	0.869	0.973	1.000	0.798	3269
11	11	to come	0.968	0.876	0.940	1.000	0.796	6056
12	12	breast	0.947	0.856	0.967	1.000	0.783	5992
13	13	rain	0.916	0.898	0.950	1.000	0.782	3100
14	14	1sg pronoun	0.970	0.875	0.936	0.976	0.776	5450
15	15	name	0.915	0.886	0.955	1.000	0.774	5995
16	15	louse	0.950	0.861	0.946	1.000	0.774	1510400
16	15	louse	0.950	0.861	0.946	1.000	0.774	1510396
17	17	wing	0.884	0.904	0.968	1.000	0.773	5528
18	18	flesh/meat	0.877	0.892	0.986	1.000	0.771	1539792
18	18	flesh/meat	0.877	0.892	0.986	1.000	0.771	2300
19	19	arm/hand	0.881	0.903	0.966	1.000	0.768	6894
19	19	arm/hand	0.881	0.903	0.966	1.000	0.768	5616
20	20	fly	0.948	0.858	0.942	1.000	0.766	6261
21	20	night	0.931	0.880	0.934	1.000	0.766	5486
22	22	ear	0.896	0.888	0.961	1.000	0.764	5510
23	23	neck	0.895	0.881	0.964	1.000	0.760	5823
24	23	far	0.944	0.850	0.948	1.000	0.760	5997
25	25	to do/make	0.947	0.877	0.914	1.000	0.759	351006
25	25	to do/make	0.947	0.877	0.914	1.000	0.759	339200
26	26	house	0.893	0.876	0.969	1.000	0.758	5517
27	27	stone/rock	0.895	0.882	0.958	1.000	0.756	3633
27	27	stone/rock	0.895	0.882	0.958	1.000	0.756	3266
28	28	bitter	0.975	0.872	0.889	1.000	0.755	375671
29	28	to say	0.972	0.837	0.928	1.000	0.755	6075
30	28	tooth	0.882	0.877	0.975	1.000	0.755	5946
31	31	hair	0.944	0.871	0.917	1.000	0.754	446278
32	32	big	0.889	0.864	0.980	1.000	0.753	5437
33	32	one	0.870	0.893	0.969	1.000	0.753	6244
34	34	who?	0.968	0.838	0.924	1.000	0.749	5490
35	34	3sg pronoun	1.000	0.893	0.955	0.878	0.749	5454
36	36	to hit/beat	0.955	0.827	0.947	1.000	0.748	6044
36	36	to hit/beat	0.955	0.827	0.947	1.000	0.748	6855
37	37	leg/foot	0.856	0.897	0.972	1.000	0.747	5665
37	37	leg/foot	0.856	0.897	0.972	1.000	0.747	5672
38	38	horn	0.840	0.898	0.987	1.000	0.745	5981
39	38	this	1.000	0.851	0.897	0.976	0.745	5458
40	38	fish	0.855	0.885	0.984	1.000	0.745	1460
41	41	yesterday	0.958	0.843	0.922	1.000	0.744	525186
42	42	to drink	0.904	0.877	0.934	1.000	0.741	5991
43	42	black	0.951	0.866	0.899	1.000	0.741	1341728
