code (Eng)	subcode (Eng)	code (fr)	sous-code (fr)	code #	subcode #	subsubcode #	short	court	ref#	date	comment	Leipzig-Jakarta	English	français	NAME Toro Tegu (Toupere, JH)	NAME Bangime (Bounou, AH)	NAME Sangha So (Moran, Sangha)	NAME Ben Tey (Beni, JH)	NAME Bankan-Tey (Walo, JH)	NAME Nanga (Anda, JH)	Jamsay (alphabet)	NAME Jamsay (Douentza area, JH)	NAME Perge Tegu (Pergué, JH)	NAME Gourou (Kiri, JH)	NAME Jamsay (Mondoro, JH)	NAME Togo-Kan (Koporo-pen, JH with BT)	NAME Yorno-So (Yendouma, JH and DT)	NAME Tomo Kan (Segue)	NAME Tomo Kan (Diangassagou)	NAME Tommo-So (Tongo Tongo, LM)	NAME Dogul Dom (Bendiely, BC)	 NAME Tebul Ure (JH)	NAME Yanda Dom (Yanda, JH)	NAME Najamba (Kubewel-Adia, JH)	NAME Tiranige (Boui, JH)	NAME Mombo (Songho, KP)	NAME Ampari (Nando, KP)	NAME Bunoge (Boudou)	NAME Penange (Pinia)
size	small	taille	petit	69	3	1	small, little	petit	03476	old	basic	small	small, little	petit	tɛ̀gɛ̌y	(kíì) dáɣàj \\ kírìjɛ̀	ùsí \\ ùðí	dâ:-w\\dâ:-m\\dâ:, tɛ᷈:, sàlâ:\\sàlâ-m\\sàlâ:, ìlâ:\\ìlâ-m\\ìlâ:	sàndâ-m\\sàndâ:	ɛ̀wrɛ́, tɛ̀gɛ̂, dágá	teyⁿ,daga,jiⁿlɛ	těyⁿ, dáɣá, jì:ⁿlɛ́	dágá, tɛ̌yⁿ	dáɣá		ùjú, ùjíⁿ, sìⁿ-sí:ⁿ, dágá, kɛ̌n	ùjì-ý, dágà, gà:lǎy			dàgí, gàà-lɛ̀-ý	dáág, dàgéégù	sɛ̀gɛ́\\sɛ̀gɛ́-mbɔ̀	bè-bélè, dàgá, kùnà	pàlɛ̂:\\pàlâ:	wéní-wè	dé:jé	bɔ̀:rúwé (bɔ̀:rúwè gé)	dà:mbè	ŋkà:lí-yè
fire	smoke/steam	feu	femée/vapeur	35	11	1	smoke	fumée	02050	old	basic	smoke	smoke	fumée	kúmó	bírɛ́ n jìjɛ́	kùkùmú \\ kùkǔm	kù-kùmbó	kùkúmbó	kùmbó	kukumɔ	kù-kùmɔ́	kù-kùmbó	kùkùmó	kì-kùmó	kùkúmó	kúmɔ́	kùⁿ-kùmì		kùmmɔ́	kùmmɛ́	kùmbó	kùmò	kùmbú\\kùmbí	kúmú	kúmbè	kúmbé (kúmbé gè)	kúyè	kùmbè
soil/stone	soil	sol/pierre	terre	48	4	1	soil, dirt	terre, sol	02627	old		soil	soil, dirt, earth (substance)	terre (substance), sol	ìsó		mɪ̀nɛ́	sùmǒy [y unnasalized]	sùmbǎy	sɔ̀:mbɔ́	ujubay	ùjùbǎy	ùsùbǎy			òsóró	ìjìbǎy			mìnnɛ́	sòònnó	jìná:	dɔ̌y	sónà-ŋgò\\sónà	tágú	sôy			
body position	stand/stop	position du corps	debout/arrêter	12	4	1	stand	debout	00704	old	basic	to stand	stand (verb only)	se mettre debout (verbe seulement)	ígú\\ígó	dǐndá	íŋjɛ́	í:-yí	í:	í:-yí	ijɛ	íjɛ́	ígí-yɛ́	ígɛ́	íjɛ́	ìg-î:\\ìg-ɛ́:	íŋ-ɛ́:-\\íŋ-í:	ʔì:	ʔì:	íŋí-yɛ́	ìgɛ́	íjj-í: (íjj-í:-yà--, neg ìjj-ǎ:-l)	íŋgílɛ́\\íŋgílá-lì	íŋgí-yɛ́	ígí-yó	íŋgyɛ̂:	tíyò (tìyé, tíyé-rí)	ʔǐj-jɛ̀	ínjɛ̀ (ɲ-)
celestial body	star	corps céleste	étoile	59	3	1	star	étoile	03063	old	basic	star	star	étoile	sémrěy	tòrèmɛ́	tòró	tóró	bàndà kɔ̀:rɔ̌y	wà:-kɔ̀rɔ́	toro	tóró	tóró	tóró		tóró	tònòlò-ý			tòndòlò-ý	tólò	tóndó:	tóndóló, sàrⁿà-kɛ̀lɛ̀	ànjì-[kɔ̀lɛ́-ŋgó]\\ànjì-kɔ̀lɛ́	kɔ̀lɔ̀ŋ-kɔ́lɔ̀wⁿ	áŋkɔ́lɛ̀	wɛ́: kɛ̀rɛ̀ⁿ-kɛ́rɛ̀ (wɛ́: kɛ̀rɛ̀ⁿ-kɛ́rɛ̀  gé)	jɔ́ŋgúlɛ̀	ɔ̀jɔ̀gɔ̀lɔ̀ (y-)
soil/stone	stone	sol/pierre	pierre	48	1	1	stone, rock	pierre	02608	old	basic	stone/rock	stone, rock	pierre, rocher	tùwó		pɛ́gɛ́lɛ́	kúrⁿù	kúrⁿò	kúrⁿô	tumo	tùmó	tùwó	tùmó	tùmó	tùwó	tìbú, dúmɔ́			dúmbɔ́, tíbé	kínú	cínú	cìn	kìnû:\\kǐn-bò	cé:mbè	kínnì	kínì (kínì gé)	kínì	kìnì, kìn wê:
eat	suck	manger	sucer	25	11	1	suck	sucer	01595	old		to suck	suck (e.g. candy)	sucer (bonbon, etc.)	ɔ́ⁿsú\\ɔ́ⁿsɔ́			ɔ́njí	ɔ́zí	ɔ́njí	ɔɲɔ	ɔ́ɲɔ́	ɔ́njɔ́	ɔ́sɔ́	ɔ́ɲɔ́	ɔ́ɲɔ́	ɔ́ɲɔ́	ʔɔ́njɛ́	xxx	ɔ́njɔ́	ɔ̀ɲjɛ́	óndó (óndó-tì-)	úmzó\\úmzó-lì	ónjí	ónjó	mílɛ́		bɔ́njɛ̀	ɲɛ́:
taste	sweet	goût	doux	124	2	1	sweet	doux	06264	old		sweet	sweet, sugary (taste)	(goût) doux, sucré	ètú			ɛ́rìm	ɛ́rùm	ɛ́rî	eru	érù	érù	érù	érù	ɛ́lú	ɛ̂:l ~ ɛ́lɛ̀l			ɛ́lɛ́lú	ɛ̀llɛ́		ɛ̌l	ɛ̀lí-yè\\ɛ̌l-ŋgò	ní:njí	ɛ́llá \\ ɛ́lɛ́lá		dènjì	nsì:ⁿ
part (animal)	tail	partie (animal)	queue	13	3	1	tail	queue	00760	old	basic	tail	tail (of dog, sheep, etc.)	queue (de chien, de mouton, etc.)	báná	tííⁿ	dúlɔ́	dúrɔ̀	dúrà	dúrâ	durɔ	dúrɔ́	dúrɔ́	dùrɔ́		dúrɔ́	dúlɔ̀	jìlá	xxx	dúlɔ́	dúlò	dúlá:	dùlɔ́	dúlɔ̀:\\dúlɛ̀:	dìlɔ̀	dúlɔ́	dìrɔ́ (dìrɔ́ gè)	dílɔ̀	dìlɔ̀
take/get	pick up/catch	prendre/obtenir	prendre/attraper	100	3	2	take	prendre	05033	old		to take	take (sth) (general word)	prendre (qch) (mot général)	só\\só	ɲáw \\ ʃíjɛ̀		àyí	zɛ́	àyí, ǎy	yaŋa	yàŋá (Imperative yàŋá)	yɛ̀ŋgɛ́		yàŋá		gèɲɛ́			jèɲɲé	jɛ̀ɛ́, yɛ̀ŋɛ́	ɲǎ: (ɲǎ:-dɛ̀-)	zɛ̀nɛ́\\zɛ̀nà-lí, tógó, tó:	jɛ́\\jɛ̀				dúgɛ̀	nɛ́mɛ́
