code (Eng)	subcode (Eng)	code (fr)	sous-code (fr)	code #	subcode #	subsubcode #	short	court	ref#	date	comment	Leipzig-Jakarta	English	français	NAME Toro Tegu (Toupere, JH)	NAME Bangime (Bounou, AH)	NAME Sangha So (Moran, Sangha)	NAME Ben Tey (Beni, JH)	NAME Bankan-Tey (Walo, JH)	NAME Nanga (Anda, JH)	Jamsay (alphabet)	NAME Jamsay (Douentza area, JH)	NAME Perge Tegu (Pergué, JH)	NAME Gourou (Kiri, JH)	NAME Jamsay (Mondoro, JH)	NAME Togo-Kan (Koporo-pen, JH with BT)	NAME Yorno-So (Yendouma, JH and DT)	NAME Tomo Kan (Segue)	NAME Tomo Kan (Diangassagou)	NAME Tommo-So (Tongo Tongo, LM)	NAME Dogul Dom (Bendiely, BC)	 NAME Tebul Ure (JH)	NAME Yanda Dom (Yanda, JH)	NAME Najamba (Kubewel-Adia, JH)	NAME Tiranige (Boui, JH)	NAME Mombo (Songho, KP)	NAME Ampari (Nando, KP)	NAME Bunoge (Boudou)	NAME Penange (Pinia)
grammar	independent pronoun	grammaire	pronom indépendant	179	1	1	1Sg	1Sg	09590	2012 Mar	basic	1SG pronoun	(1Sg independent pronoun)	(pronom indépendant 1Sg)	mí ~ m̀ᵇí	mí	mú	í	í	ǐ:ⁿ		mí	mí		mí	íⁿ	mú	mí	mí	mí	mí	mí	mí	mí	mí-wⁿ, mì	mí:	mi	mì	mí
grammar	independent pronoun	grammaire	pronom indépendant	179	1	2	2Sg	2Sg	09591	2012 Mar	basic	2SG pronoun	(2Sg independent pronoun)	(pronom indépendant 2Sg)	ú	à	ú	ú	ú	ú		ú	ú		í	ú	ú	á	á	ú	ó	ú	ó	ó	ó:, ò	ó:	ó	ò	ó
grammar	independent pronoun	grammaire	pronom indépendant	179	1	5	3Sg	3Sg	09594	2012 Mar	basic	3SG pronoun	(3Sg all-purpose independent pronoun)	(pronom 3Sg)		mì	wó		ɛ́rⁿɛ́						ú					wó	í		ná			ɛ́:	á	ǎwⁿ	ɔ̀nɔ̀
penetrate	bite/sting	pénétrer	mordre/piquer	143	5	1	bite	mordre	06966	old	basic	to bite	(sb, mammal) bite (sb)	(qn, mammifère) mordre (qch, qn)	cɛ́rú\\cɛ́rá		kɛ́rú	kúwó	kúwó	kúwó	cɛrɛ	cɛ́rɛ́	kɛ́rɛ́	kɛ́rɛ́	cɛ́rɛ́	kɛ́rɛ́	kɛ́rɛ́-\\kɛ́rɛ́			kɛ́rɛ́		cɛ́rɛ́ (cɛ́rɛ́-tì-)	kɛ́dɛ́\\kɛ́dá-lì	kɛ́rɛ́	cɛ́rɔ́	núŋgɛ́	dígò (dígɛ́, dígɛ́-rí)	núnjè	núŋgɛ́
body	arm	corps	bras	10	11	2	arm	bras	00400	old		arm, hand	arm	bras	lɔ́		nɔ́ɔ́ \\ nùmɔ́ 	nǎ:	nǎ:	nǎ:	numo	nùmó	nùwⁿó				nǒyⁿ			nùmɔ́	nùmɔ́	nùmǎ:	nùmà	nùmǎ:\\nùmɛ̌:	númá			númɛ̀	
fire	ashes	feu	cendre	35	10	1	ashes	cendre	02049	old	basic	ash	ashes	cendre	dòwⁿòsú	túɥɛ̀	únɔ́	dɔ̀yⁿɔ̌yⁿ	dɔ̀yⁿɔ̌yⁿ	dùyá	dɔyⁿɔ	dɔ̀yⁿɔ́	dɔ̀yⁿɔ́	ɛ́:rⁿɛ̀		dɔ̀yⁿɛ́	únɔ̀	dwɛ́ⁿ		ɔ́índɛ́, úndɔ́	dɔ́ɔ̀	dɔ̀ɛ́	dɔ̀yⁿɛ̀	dɔ̀dɛ̌:-ŋgó\\dɔ̀dɛ̌:	dwɛ́:	dwɛ̂:	dɔ̀:yé (dɔ̀:yé gè)	díwɔ̀	dwɛ̀:
body	torso	corps	torse	10	4	8	back	dos	00325	old		back	back (body)	dos	tùŋɔ́		ònú	tùlù-kɛ́lɛ̀	tùndú, tùndù kɛ́ndɛ̀	tùndù bìrⁿɛ́	gun,guncɛnɛ	gǔn, gùn-cɛ́nɛ́	tùr-kɛ́lɛ́	gùn kɛ́nɛ́	gùn-cɛ́nɛ́	dògò-kɛ́nɛ́	ònɔ́	dùgòlò	dògòlò	ònnú	ǹdóŋ	kúndúgó	tùnù	bàndí-ŋgé\\bàndí	kùŋgù	túndú		pùmbù	túndú
size	big	taille	gros	69	1	1	big, large	grand, gros	03456	old	basic	big	big, large	gros, grand	sɛ́w, ná:		póó \\ gáá \\ dìjɛ́	díyⁿà-w\\díyⁿà-m\\díyⁿà	díyⁿà-wⁿ\\díyⁿà-m	dùgí	gara	gàrá	démbéré	gàrá	gàrá	káŋ, márⁿá, gàrá	dùgú, dɛ̂:			póó, gáá, díɛ́	bìnú	dɛ́\\dɛ́-ŋgɛ́\\dɛ́-mbɔ́, bìné:\\bǐn-mbɔ́ (e.g. person, animal)	dìyá	gìndɔ́:\\gìndɛ́:	báy (house, tree, village), bíní (animal, person, rock)	bâyⁿ	dògò (dògò gé)	bàyⁿ, bìgì (also 'fat')	bàyⁿ
animal	bird	animal	oiseau	1	11	1	bird	oiseau	00047	old		bird	bird (any)	(tout) oiseau	sǎy		sàsáá	nì:yⁿî-m\\nì:yⁿî:	nǐ:-m\\nǐ:	lì:gí	sajiⁿ,saju	sà:j-î:ⁿ, sàjú	sà-sǎy		sàjú	sàjú	sì-sǎ:	sàjù	sàjù	sàdàá	lègèègú, nègèègú	àdé\\àdù-mbó	àɲàn\\-mù	nǐ:\\nì:-mbó	níyè	ìní		ní:bè	nèjjé
taste	bitter	goût	amer	124	3	1	bitter	amer	06276	old		bitter	bitter (in taste)	(goût) amer	gòlú			gárì-m ~ gárù-m	gàrǔm	gárî	jeru	jé:rù	gérù xxx(see 06281)	gé:rù	jé:rù	kágárá	gálàl			gálálú	gállá		gàl	gàlí-yè\\gàlú-ŋgò		kárákárá kánní		kàr-kàr-gà	kárá-kárá, gà:là
color	black	couleur	noir	160	3	1	black, dark	noir, foncé	07590	old	basic	black	black, dark	noir, sombre	jɛ́m	(kíì) póɔ́rè	gɛ́wⁿ	jéwⁿè-wⁿ\\jéwⁿè-m\\jéwⁿè-yè	jɛ̀mɛ̂yⁿ	jɛ́mí	jɛm	jɛ́m	jém	gɛ́m	jɛ́m	gɛ́ⁿ	gɛ́m			gɛ́m	gɛ́mɛ̀ŋ	jɛ́mɛ̀:\\jɛ́m-bɔ̀\\jɛ́m-gɔ̀	jèmɛ́	jɛ́mɛ̀\\jɛ́mɛ̀-ŋgò	jɛ́mɛ́	wɛ́rɛ́dɛ́	kòrò (kòrò gé)	yɔ̀:lɛ̀	yɔ̀rdɛ̀
body	body substance	corps	substance corporelle	10	2	5	blood	sang	00313	old	basic	blood	blood	sang	néŋ	ʒíì	ìlí	gòŋgòró	gòŋgòró	gòndùgó	nɛyⁿ	nɛ̂yⁿ	nɛ̂m	nɛ̂yⁿ	nɛ̂yⁿ	nɛ́	ìllî:	ɲí:	ní:	ìlìyé	gìŋɛ̀nɛ́	jènjé	jènjù	gěn-gé\\gěn	jé:ŋgé	gè:ŋgé	àgà (àgà gé)	bàbà	bàgà
sound	whistle	son	siffler	122	7	5	whistle	siffler	06129	old		to blow	blow (horn, whistle)	faire sonner (cor, sifflet)	púrú\\púró			súsɔ́	súsá, pú:rⁿí	túsɔ́	sujɔ,piwɛ	sújɔ́, píwɛ́	tú:sɔ́		píwɛ́	sìjɛ̌ⁿ síjɛ́	sújɔ́			súdɔ́			súzɛ́\\súzá-lì	sújɛ́	bám(ú)	pè:mbé píjé			
fire	blow	feu	souffler	35	12	1	blow	souffler	02052	old		to blow	blow on (e.g. fire)	souffler sur (feu etc.)	púrú\\púró		púúbí	pú:rⁿú	pú:rⁿí	púmírⁿí	piwɛ	píwɛ́	píyɛ́	fíwé		ɲɛ́: píyé	púb-ɛ́:-\\púb-í:	húbí		ɲǎm púúbí-yó		útú púb-í:- (púb-í:-tì-)	pú:bí-yɛ́	púmíl\\pùmìlè	púmbúló	púbúlè		púbúlè	púbúlè
body	bone	corps	os	10	6	1	bone	os	00343	old	basic	bone	bone	os	cìrá	n nɔ́ɔ́rɛ̀	kíí	cìrⁿɛ̌yⁿ	kìrⁿěy	kìrⁿá	cirⁿe	cìrⁿé	kìrⁿé	kìrⁿé	cìrⁿé	kìrⁿí	kǐ:	cìlɛ̀	cìlɛ̀	kìyé	kɛ́nɛ́	cìnǎ:	kìrⁿà	kìná-ŋgó\\kìná	cíní	gà:wⁿě:	gà:wá (gà:wá gè)	gá:yè	gɔ̀:gɛ̀
hot/cold	burn	chaleur/froid	brûler	173	3	1	burn	brûler	08117	old	basic	to burn (intr.)	burn (e.g. paper, grass, fabric)	brûler (papier, herbe, tissu, etc.)	dɔ́\\dɔ́	síìwò		dɔ̌	dɔ́	kúwó-mí	dɛ	dɛ̌:	dɛ̌:		dɛ̌:	tɛ́:rì	dɛ̌:-\\dɛ̌:			dìyⁿɛ́			gòlò kún-dó	tógá-ndí	súwó, táŋgá-m(ú)	yá:rè	já:dò (jà:dé, jà:dè:-rí)	súmbɛ̀	yá:rè
carry/load	carry (on head)	porter/charger	porter (sur la tête)	148	1	1	carry on head	porter à la tête	07258	old		to carry	carry (sth, on one's head)	porter (qch, à la tête)	dí\\dé			dǔ	dú	dǔ:-yí	de	dě:	dìyé	dé:	dě:	dùw-î:\\dùw-ɛ́:	dùy-ɛ́:-\\dùy-í:			dùyí-yɔ́	dùyyɛ́	dǐ (dí-tì-, dì-sɔ́-, stative dí-yà)	dì-yɛ́\\dì-yà-lí	dìyɛ́	dú-yɔ́	dúyɛ̂:		dú-yyɛ̀	dú-yɛ́
person	child	personne	enfant	6	4	1	child	enfant	00154	old	basic	child (enfant)	child	enfant	ì-rⁿú\\ì-mú ~ ǐ-m, ì-rⁿ-í:\\ì-m-í:	bìjɛ́, jàámbɛ̀	àjní \\ àrⁿù úrⁿúŋ \\ úrⁿú	yí-m\\yìtɛ᷈:	yí-m\\yì::tɛ̂:	yî:\\yì-tɛ̀gɛ̂	in	î-n\\úrⁿ-ùm	î:ⁿ\\ímbè-m	î-n\\ùr-ûm	î-n\\úrⁿ-ùm	í:ⁿ\\úrⁿí:	î:	ʔìrⁿú\\ʔìrⁿú wé ~ ʔíwⁿ	ʔì:ⁿ\\ʔùnù wé	íí \\ úlùm	égù, éég, ég	ɛ̀dɛ́\\úlé:	ènè\\èné (DefSg èné gɛ̀)	èndê:\\òndô:	bé:\\bé-gé	wê:	bé: (bé: gè)	bé (bê: nɔ̀)	wè:
motion	come	mouvement	venir	146	2	1	come	venir	07027	old	basic	to come	come	venir	yèrú\\yèrí	n ŋɔ̌		yɛ̌	wɔ́\\wá	yě:	yɛrɛ	yɛ̀rɛ́	wǎ:	yɛ̀rɛ́	yɛ̀rɛ́	yɛ̀rɛ́	wɛ̀lɛ́-\\wɛ̀lɛ́			yɛ̀lɛ́	mɛ̀nɛ́	wɔ̌: (wɔ̌-yà-, perf neg wà:-lí-, imprt wá:)	wó\\wò-lí	wé\wè	yógó	égé	égò (égé, ègè:-rí)	ʔégè	égé (y-)
do/work	do/make	faire/travail	faire	152	1	1	do, make	faire	07419	old		to do/make	do, make	faire	kárⁿú\\kárⁿá		kárⁿá	káyⁿ	káŋ	kárⁿí	karⁿa	kárⁿá	kárⁿá	kárⁿá	kárⁿá	bìrɛ́	kárⁿá			káná	kànɛ́	kán (kán-tì-)	kán\\kárⁿá-lì	kán\\kànè	kán(ú)	kání		kánì	kání ~ kán
animal	dog	animal	chien	1	5	1	dog	chien	00016	old	basic	dog	dog	chien	nènú	kùrɛ̀mɛ́ \\ kùrìjɛ̀ɛ́	ìðú	ìnjɛ̌-m\\ìnjɛ́	ǹjèrû-m\\ǹjèrú	nɛ̀rⁿî	iju	ìjú	ìšú	ìzú	ìjú	ìsí	ìjú	ʔùjù	ùjù	ìsé	úŋɔ̀	ìnjɛ̌:\\ìnjɛ̀-mbɔ́	ìnjɛ̀\\-mù, ǹjɛ̀\\-mù	ŋ̀gwɛ̌:\\ŋ̀gwɛ̀:-mbó	í:njɛ́	ínjɛ̀	ìjɛ́ (ìjɛ́ gè)	ʔínjɛ̀	ŋkɛ̀
drink	drink	boire	boire	21	1	1	drink	boire	01436	old	basic	to drink	drink (sth)	boire (qch)	ní\\nɛ́	ɲìjɛ́(rɛ̀)	nɔ́j	nɔ̌	nɔ́	nɔ̌:	nɔ	nɔ̌:	nɛ̌:	nɔ̌:	nɔ̌:	nɔ̌:	nɔ̌:-\\nɔ̌:	nwɛ̀:	xxx	nɔ́ɔ́	nɛ̀ɛ́	ɲɛ́ (ɲɛ́-tì-)	nìyⁿɛ́\\nìyⁿà-lí	nɛ́	ɲɔ́: (Perf ɲɛ̀:-) (same as 'eat meal')	nyɛ́:	nɔ̂: (nɔ̯ɛ́, nɔ̯ɛ́:-rí)	nɛ̂:	nɛ́:
body	ear	corps	oreille	10	16	1	ear	oreille	00460	old	basic	ear	ear	oreille	súgúrú	táŋá	súgúrú	sú:rⁿù	sûn	súŋúrⁿì	sun	sûn	súŋúrⁿù	súŋùn	sûn	súgúrú	súgùrù	sùgú	súgú	súgúlú	súŋùnù	súrⁿó	sún	súnù:\\súnì:	sùŋùnù	súgúlí, súgúlí kìjìkìjì (back part of ear)	sùgùrù (sùgùrù gé)	sùgùlè	súgúlyè
soil/stone	soil	sol/pierre	terre	48	4	2	soil, earth	banco, terre	02628	old	basic	soil	earth (as brick mix or to repair walls)	banco, terre (pour faire des briques ou pour crépir les murs)	lɔ̀gú		pɔ́n \\ pɔ́nú	lěw	lěy	lègí	legu	lègú	lègú	lègú	lègú	òsóró	làgú 			ùnjúm		lègú	pɔ̀ndɔ̀, ùɲùmà	ǹjâ:\\ǹjɛ̂:	ɔ̀gɔ̀	ɔ́gɔ́	ɔ̀gɔ̀ (ɔ̀gɔ̀ gé)	bɔ̀gɔ̀	ɔ̀gɔ́ (y-)
eat	eat	manger	manger	25	1	2	eat meal	manger repas	01540	old	basic	to eat	eat (meal)	manger (repas)	lí\\lɛ́	dìjá	káj	ɲɛ́	ɲɛ́	kɔ́:	ɲɛ	ɲɛ́:	ɲɛ́:	ɲɛ́:		ɲí:\\ɲí:	ká:	ɲɛ́:	xxx	ńyɛ́	ɲɛ̀ɛ́	ɲɛ́ (ɲɛ́-tì-, also 'drink')	ʔə́ɲɛ́\\ʔə́ɲá-lì	kwɛ́	ɲɔ́: (Perf ɲɛ̀:-) (also 'drink')	ɲɛ́:	yɔ̂: (yɛ̀, yɛ́:-rí)	jɛ̂:	ɲɛ́:
chicken	egg	poulet	œuf	5	3	1	egg	œuf	00138	old	basic	egg	egg	œuf	tàrú	kúùⁿ	tárú	tàrî:	tàrî:	tà:rî	taru	tárú	tárú	tárú		tárú	tâl	tá-w (X tá-w)	tá-w (X tá-w)	tálú	púlɔ̀	tálɛ́	tòl	pǒl-ŋgó\\pòlé	pólŋgé	pólè	pórì (pórì gé)	póléŋgè	pòlè
body	eye	corps	œil	10	17	1	eye	œil	00464	old	basic	eye	eye	œil	jìró, gìró	sííbɛ́ɛ̀	gìrí \\ gìrú	jìré	gìré	gìré	jire	jìré	gìré	gìré	jìré	gìré	gìrǐ:	jìrí:ⁿ	jìrì:ⁿ	gìré	gìró	gìré (eyes)	gìd-íyè, gìdè	gìró\\gìré	jíró	gírè	gìdó (gìdò gé)	gíré-sè	gìrè
fall	fall	tomber	tomber	149	1	1	fall	tomber	07287	old		to fall	fall	tomber	lǔw\\lùwó	kàrà	nùmú	yàɣá	yǎ:	yɛ̀gɛ́	numo	nùmó	nùmbɔ́	nùmó	nùmó	bàgá	nùmɔ́-\\nùmú			nùmbó	yɛ̀gɛ́		pílé\\pílé-lì	dɛ̀ŋɛ́	dúmbɔ́	yɛ́gɛ́		túbbɛ̀	tíbɛ́
distance	distant	distance	loin	65	1	1	far, distant	lointain	03316	old	basic	far	far, distant	lointain	wà:gá		wàgé wɔ́	wa᷈:w	wⁿâ:wⁿ	wàgá	waga	wàɣá	wàgá	wàɣá, wàɣá: kɔ̀	wàgá	wàgá	wàgú			wàgé	wàgóón	wàgá (invariant)	wàjú	wàgí-yè\\wǎ-ŋgè	wágá	wágù	wàgè (wàgè gé)	wàgì	wàgè
body	torso	corps	torse	10	4	6	breast	sein	00323	old	basic	breast	female breast	sein de la femme	írù	súɥɛ̀	írú	írù	úrù	úrî	iru	írù	ɛ̂m	írù		írí	írù	ʔìrí	ìrí:	írú	ɲ́jù	ɛ́mnɛ́	ɛ́mɛ́	ónjù:\\ónjì:	ùnjìgè	ógyé	èsè (èsè gé)	ʔójjè	éjjé (y-)
fire	fire	feu	feu	35	1	1	fire	feu	02012	old	basic	fire	fire	feu	núwⁿɔ́	bíréɛ̀	jàwⁿú	go᷈:	go᷈:	go᷈:	nuwⁿo,nuwⁿɔ	núwⁿó, núwⁿɔ́	núwⁿó	núwⁿó	núwⁿó	ɲɛ́:	yǎm	ɲá:		ɲǎm	gógó	gǒ:	gòlò	gólò\\gólè	jíyé	génì	gɛ̀nɛ́ (gɛ̀nɛ́ gè)	génì	gènì ~ gèn
body	leg	corps	jambe	10	12	1	foot	pied	00411	old	basic	leg/foot	foot	pied	kúwɔ́, kùwɔ̀-tɔ́		kúbɔ́ \\ kùbɔ̀ sáá	lɔ̀sɔ̂:	ǹdɔ̀sɔ̂:	lɔ̀sɔ̂	kɔ	kɔ́:	kúwɔ́	kúwⁿ́ xxx	kɔ́:	kúwɔ́	kúbɔ́	kùbà-càndà	kùbà-tàgà	ánú	náágù	lǎ:	nà:	nà:-gó\\nǎ:	tònjè	sí:	sò: (sò: gé)	sè (sè: nɔ́)	sígé
give/dispossess	give	donner/retirer	donner	99	1	1	give	donner	05013	old	basic	to give	give	donner	ów\\ów	n ɲáẁ	óbú	ní	ní	ńdí	o	ó:	ó:	ó:	ó:	ó	óbó-\\óbú			óbó	ǹdɛ́	ńdì (ńdí-tì-, imprt ńdá)	ńdɛ́\\ǹdà-lí	ǹdɛ́, ǹdírɛ́	ndó (imperative ndà:)	ńdɛ́	táwò (tàyè, tàyè-rí)	tábè	tábé
motion	go	mouvement	aller	146	1	1	go	aller	07016	old		to go	go	aller	yǎy\\yàyá		jàá	ló	ǹdó	ńné	ya	yǎ: (Imperative yǎ:)	yǎ:	yǎ:		yě\\yǎ:	yǎ:-\\yǎy			yàá	bɔ̀lɛ́	yǎy (yǎy-yà- ~ yé-yà-, perf neg ò-lí-, impf ó-m̀-dɔ̀-, impf neg ó-ŋgò, imprt yà-dá)	ún\\úrⁿé\\ún-lì	ín\\ìnè	ún(ú)	ándé		gé:ndè	ándè (ɲ-á:ndè)
hide/reveal	hide	cacher/dévoiler	cacher	120	1	1	hide	cacher	06032	old		to hide	go into hiding, hide (oneself)	se cacher	súmí-yⁿ\\súmí-yⁿó ~ símí-yⁿ\\símí-yⁿó			bàŋgì-yí, jɔ̀:yí	zɔ̀wíyí	dàwí-yí	baŋa	bàŋá	súgú-yó	bàŋá		bàŋ-î:	bàŋ-ɛ́:-\\bàŋ-í:			bààŋí-yɛ́			bán-jɛ́\\bàn-jà-lí	síbí-y\\sìbì-yè	jínɔ́	kú:yɛ̀ // dábyê:		yóg-gè	kúyɛ́
good/bad	good	bon/mauvais	bon	169	1	1	good	bon	07935	old	basic	good	good	bon	jɛ̀rⁿú	ɡáẁⁿ		ɛ̀sú\\ɛ̀sú-m\\ɛ̀sú-yɛ̀	ɛ̀sú-m\\ɛ̀sú	ɛ̀sí	ɛju	ɛ̀jú	ɛ̀sú	ɛ̀sú	ɛ̀jú	sɛ́ⁿ	ɛ̀jú			síɛ́, dàgáá-dɛ̀	gɛ̀nɔ́		síyɛ́	nálá:\\nálé:, nɛ̌y-yè\\nɛ̌y-ŋgò	mɔ́:	pɔ́lɔ́	dìyè	pɔ̀:lɔ̀ (modifying), ném bò ('be good', predicative only)	pɔ́:lɔ́
pound/grind	grind/press	piler/moudre	écraser/moudre/presser	30	1	2	grind, crush	écraser	01810	old		to crush/grind	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	bien écraser (mil, etc.) avec deux pierres à écraser	nǎm\\nàwⁿá		pùnǎwⁿ	nàwⁿá	nàmá	nàmá	nɔwⁿɔ	nɔ̀wⁿɔ́	nàwⁿá	nɔ̀wⁿɔ́	nɔ̀wⁿɔ́	nɔ̀wⁿɔ́	nàwⁿá	nɛ̀mɛ̀	xxx	nàmá		nàmá (nàmá-tì-)	nǎm\\nàmà-lí	nǎm\\nàmè	námɔ́	sá:rè		námì	námí
body	hair	corps	poil	10	14	1	hair	cheveux	00434	old	basic	hair	hair	cheveux	kúrɔ́	déɡé kújù	kùkùrí	kù-kùyɔ́	kùyá	kìyá	kurɔ	kúrɔ́	kúrɔ́	kúrɔ́		kúrɔ́	kù-kûl	kùlɛ́	kùlɛ́	kúló	kíŋgìlɛ̀	kùŋgùlà-íyɛ́ (head hair), gùdù-kúlà (body hair)	kùlà	kùlɛ́-ŋgó\\kùlɛ́	kùlèŋgè	kúlɛ́	kùrɛ̀ (kùrɛ̀ gé)	kùlɛ̀	kúlɛ́
body	arm	corps	bras	10	11	1	hand	main	00399	old	basic	arm, hand	hand	main	lɔ̀-tɔ́		nɔ́ɔ́ \\ nùwⁿɔ́ \\ nùmɔ́	nǎ:	nǎ:	nǎ:	numo	nùmó	nùwⁿó		nùmɔ́		nǒyⁿ	nùmà-càndà	nùmà-tàgà	nùmɔ́	nùmɔ́	nùmǎ:	nùmà	nùmǎ:\\nùmɛ̌:	númá		nùmá (nùmá gè)	númɛ̀	nwɛ̀: ~ nɛ̀:
body	arm	corps	bras	10	11	3	hand	main	00401	old		arm, hand	hand, arm	main, bras	lɔ́		nɔ́ɔ́ \\ nùwⁿɔ́ \\ nùmɔ́	nǎ:	nǎ:	nǎ:	numo	nùmó	nùwⁿó	nùmó		nùmɔ́	nǒyⁿ	nùmà	nùmà	nùmɔ́	nùmɔ́	nùmǎ:	nùmà	nùmǎ:\\nùmɛ̌:	númá	nɛ̂:, nwɛ̂:			
texture	hard	surface	dur	161	1	6	hard	dur	07629	old		hard	hard ("dry")	dur (« sec »)	mǎyⁿ		màá	mǎ:	ma᷈wⁿ	mǎ:		mǎyⁿ	mǎyⁿ				mǎ:			máyyám, ɛ́ɛ́ⁿ, máá				mǎy-ŋgò\\mǎy-yè					
texture	hard	surface	dur	161	1	1	hard, stiff, solid, firm	dur, raide, rigide, résistant, solide	07624	old		hard	hard, firm, solid, stiff (surface, object)	(surface, objet) dur, raide, rigide, résistant, solide	mǎw ~ m̀bǎw		ɛ́ⁿɛ́ⁿ	ma᷈wⁿ	ma᷈wⁿ	márⁿî, ɛ̌:	deŋ	déŋ	mǎyⁿ	déŋ		mǎ, kégú	ɛ̌:ⁿ			máyyám, ɛ́ɛ́ⁿ			ʔə̀yⁿàyⁿ	mǎy-yè\\mǎy-ŋgò	málá-ní	kéndé-kéndú		ɲà:ŋì ("dry")	kàmmì
sound	hearing	son	audition	122	1	1	hear	entendre	06074	old	basic	to hear	hear (sound, voice)	entendre (bruit, voix)	ɛ́gú\\ɛ́gá			nǔ	nú	nǔyⁿ	aga	áɣá	ɛ́gɛ́		áɣá	ɛ́gɛ́	ɛ́gɛ́			ɛ́gɛ́	nùŋɛ́	nɔ́ (nɔ̀-sɔ́-, nɔ́-bɔ̀-)	nɔ́\\nwà-lí	ŋwɛ́\\ŋwɛ̀	nú:ndó	núndé	mánù (mànì, mání-rí)	núndè	núndé
weight	heavy	poids	lourd	165	1	1	heavy	lourd	07779	old	basic	heavy	heavy	lourd	dùsú	(kíì) mɛ̀nɛ́	démé	dùsú	dùsú-m\\dùsû:	dúsî	duju	dùjú	dùsú	dùsú	dùjú	dògú	démɛ́			túgóm	dógùsò		tùjù	nìmí-yè\\nǐm-gò	né:ŋgó:	dɔ́ŋgá	nìwⁿì (nìwⁿì gé)	nìnjì	dɔ́ŋgá
hit	hit	frapper	frapper	136	1	3	hit	frapper	06707	old		to hit/beat	hit, strike (general word)	frapper (terme général)	tɛ́w\\tɛ́wá		lògí	súyɔ́	sɔ́	súyɔ́, jàrⁿá	laga	láɣá	lágá	láɣá		lágá	lágá-\\lágú			bɛ̀ndɛ́	bùndé	púŋgó, bùndó, dɛ̀mɛ́	dèmɛ́\\dèmà-lí	pɛ́ndɛ́, dɛ̀njɛ́	tɛ́wɔ́	tɛ́búlɛ̀ // jání , búndé		númbè	búndé
part (animal)	horn	partie (animal)	corne	13	5	1	horn	corne	00772	old	basic	horn	horn (of animal)	corne (d'animal)	círá	síráá	kɛ́lɛ́	cíyà	kíyà, cíyà	kírâ	cirɛ	círɛ́	kírɛ́	kírɛ́		kírɛ́	kílɛ̀	cìlá	xxx	kɛ́lɛ́	kɛ̀lɔ́	cílá ~ kílá	célá, cɛ́lɛ́	kɛ́lɔ̀:\\kɛ́lɛ̀:	kɛ̀:lɛ̀ŋgè	kɛ́lɛ́	kɛ̀rɔ̀ (kɛ̀rɔ̀̀ gé)	kɛ̀lɛ̀	kɛ́lɛ́
house	house	maison	maison	54	1	1	house	maison	02762	old		house	house	maison	íló	kóò	gìrⁿú	úrò	úrò	ńdô ~ índô	uro	úró	íré	úró	úró	gìrⁿí	gɛ̀rⁿɛ́			gìnɛ́	ḿbùŋ	úló	ʔə́ló	ólé ~ óló\\ólé	jíwá	débù		ʔòbò	dèm
body	joint	corps	articulation	10	10	1	knee	genou	00387	old	basic	knee	knee	genou	nìŋó	bʷèɛ́ kǔmbɛ́	jóŋgóró	sínjì:, síŋgì:	kízì	kùnjò-kúnjô	nɛŋɛ,nɛŋɛbere	nɛ̀ŋɛ́, nɛ̀ŋɛ̀ béré	nìŋgé	nèŋé	nɛ̀ŋɛ́	nèŋèrè-kúⁿ	yúŋóló	ɲùŋgòlò	ɲùŋgòlòkùⁿ	ànù yóŋóló	kúɲjù	kúndú	kúnzú	nà:-kínjì-ŋgè\\nà:-kínjì:	kúnjúgɔ́	kúnjúgà	kùjù (kùjù gé)	kúnjúgà	kùnjùgà
mental	know	mental	savoir/connaître	116	1	2	know	savoir	05682	old	basic	to know	know (a fact, defective verb)	savoir (une proposition, verbe défectueux)	ùkú											í:ⁿ wɔ̂	ígì			íí				tígà	yèy		ɛ́yⁿ	ʔɛ̀yⁿ	ɛ́ɲɔ̀ bò (3rd person), ɲɛ́yⁿ (1st/2nd person)
mental	know	mental	savoir/connaître	116	1	1	know	savoir	05681	old	basic	to know	know (a fact) (regular verb)	savoir (une proposition) (verbe régulier)				jùwɔ́	zùwá	jùgɔ́	jugɔ	jùgɔ́	jùgɔ́		jùgɔ́		jùgɔ́-\\jùgɔ́				tìgá, tìgì-yɛ́	zùgɔ́ (zùgɔ́-tì-)	zùwɔ́\\zùwà-lí			íɲámbó			yáré ('find out, recognize')
body function	laugh	fonctionnement corporel	rire	11	16	2	laugh	rire	00649	old		to laugh	laugh (verb only)	rire (verbe seulement)	mɔ̌m\\mɔ̌:	m máà	mɔ́nɛ́	màní	màní	màndí	mɔwⁿɔ	mɔ̀wⁿɔ́	mɔ̌:ⁿ	mɔ̀wⁿɔ́	mɔ̀wⁿɔ́	mɔ̌:	mɔ̌:-\\mɔ̌:	mɔ̀mɛ̀	mòmè	mòmó	màndɛ́	màndí (màndí-tì-)	màndú\\màndà-lí	màndí\\màndè	mándó	mándú mándè		mándè	mándé
